Time(Iteration),Random,NeuralPHE,NeuralPHE_time
1000,965,948,30.296255826950073
2000,1921,1881,102.93942356109619
3000,2887,2789,201.0691306591034
4000,3848,3686,314.6418206691742
5000,4799,4580,439.68137645721436
6000,5756,5465,583.4672448635101
7000,6714,6340,731.1218004226685
8000,7675,7207,892.260003566742
9000,8645,8076,1051.7532682418823
10000,9603,8957,1225.757092475891
11000,10560,9810,1404.380842924118
12000,11521,10660,1589.2138447761536
13000,12492,11474,1773.9896142482758
14000,13450,12281,1964.5966410636902
15000,14411,13123,2096.5531220436096
16000,15363,13949,2303.549381494522
17000,16317,14760,2519.99071764946
18000,17274,15558,2733.1236822605133
19000,18226,16355,2936.74756360054
20000,19184,17164,3152.0484488010406
21000,20150,17941,3373.2027094364166
22000,21106,18725,3590.1193339824677
23000,22072,19497,3820.8961544036865
24000,23030,20273,4038.9680874347687
25000,23991,21043,4270.135049104691
26000,24953,21814,4501.43564748764
27000,25914,22608,4721.1126272678375
28000,26880,23372,4951.251850605011
29000,27845,24125,5192.055330753326
30000,28803,24861,5432.655384302139
31000,29757,25629,5669.977650165558
32000,30725,26393,5909.035804748535
33000,31692,27119,6166.743904829025
34000,32649,27879,6410.810903310776
35000,33614,28641,6651.776576280594
36000,34572,29369,6892.5305807590485
37000,35537,30138,7131.8859350681305
38000,36498,30896,7367.35785317421
39000,37453,31617,7618.371534347534
40000,38409,32305,7858.1447467803955
41000,39377,33029,8123.134647369385
42000,40332,33776,8362.934984207153
43000,41295,34518,8614.813380241394
44000,42241,35240,8872.087956905365
45000,43198,35968,9119.467159032822
46000,44163,36709,9376.46785235405
47000,45124,37423,9621.643577098846
48000,46084,38150,9862.519606351852
49000,47043,38849,10110.969604730606
50000,48003,39562,10364.118304252625
51000,48960,40253,10623.95869064331
52000,49916,40964,10876.20765542984
53000,50881,41669,11138.041029691696
54000,51846,42370,11390.428094863892
55000,52803,43088,11649.018500328064
56000,53759,43789,11913.156891345978
57000,54728,44474,12180.730917930603
58000,55695,45165,12445.186487197876
59000,56653,45857,12702.70871925354
60000,57612,46544,12968.149833202362
61000,58577,47234,13231.414307832718
62000,59547,47941,13492.58861541748
63000,60515,48617,13757.866868257523
64000,61476,49300,14017.058851957321
65000,62442,49990,14273.87227678299
66000,63398,50709,14532.03250169754
67000,64357,51407,14789.458690166473
68000,65314,52087,15056.512322187424
69000,66268,52765,15323.880115270615
70000,67232,53460,15589.907280445099
71000,68197,54123,15867.565257549286
72000,69161,54815,16126.043058872223
73000,70124,55482,16400.884835004807
74000,71084,56172,16658.77316260338
75000,72042,56836,16925.508192062378
76000,73003,57503,17215.482957839966
77000,73965,58180,17486.82339143753
78000,74930,58834,17765.86445260048
79000,75893,59509,18051.850072145462
80000,76849,60173,18332.214594364166
81000,77801,60846,18601.910737514496
82000,78751,61517,18859.235687732697
83000,79717,62158,19132.900543689728
84000,80682,62814,19406.878640174866
85000,81644,63465,19680.035150527954
86000,82611,64105,19956.504290819168
87000,83575,64747,20227.551280260086
88000,84538,65393,20500.57526421547
89000,85494,66042,20770.720962762833
90000,86447,66697,21047.27487897873
91000,87412,67360,21299.718616247177
92000,88368,67995,21539.067597150803
93000,89335,68628,21815.328284025192
94000,90287,69262,22099.843529462814
95000,91244,69895,22375.24313378334
96000,92206,70522,22649.184846639633
