Time(Iteration),Random,NeuralUCB,NeuralUCB_time
1000,961,924,52.443668603897095
2000,1918,1854,145.02008938789368
3000,2886,2764,262.4482407569885
4000,3854,3652,391.61118936538696
5000,4813,4538,566.4302933216095
6000,5779,5402,759.8971552848816
7000,6738,6272,960.8348045349121
8000,7698,7135,1193.5121359825134
9000,8657,7968,1432.319694519043
10000,9618,8809,1680.1471736431122
11000,10574,9643,1949.3661267757416
12000,11527,10461,2217.5637753009796
13000,12487,11284,2333.193661928177
14000,13460,12087,2598.250630378723
15000,14419,12934,2863.7926774024963
16000,15370,13742,3136.01864361763
17000,16331,14533,3343.8063945770264
18000,17290,15337,3629.6559998989105
19000,18239,16119,3918.3870120048523
20000,19197,16931,4208.482723474503
21000,20167,17720,4500.905075311661
22000,21119,18504,4798.2226998806
23000,22087,19296,4980.271644115448
24000,23041,20061,5177.402717828751
25000,24006,20834,5489.972500324249
26000,24964,21595,5810.026648759842
27000,25924,22355,6144.559517145157
28000,26882,23114,6467.797270536423
29000,27833,23876,6799.933379173279
30000,28792,24641,7127.91276884079
31000,29754,25385,7463.113925218582
32000,30715,26129,7792.816779375076
33000,31675,26854,8136.823199748993
34000,32632,27594,8470.078029870987
35000,33591,28359,8810.162863969803
36000,34552,29115,9145.210950136185
37000,35499,29863,9478.926641464233
38000,36456,30603,9720.933262109756
39000,37420,31344,10008.835811376572
40000,38378,32043,10360.099694252014
41000,39333,32769,10717.14811205864
42000,40295,33506,11072.098010063171
43000,41255,34216,11430.424318790436
44000,42226,34937,11783.732331752777
45000,43189,35650,12167.365925073624
46000,44149,36364,12571.264697551727
47000,45112,37089,12950.86778974533
48000,46077,37777,13327.806962251663
49000,47044,38468,13725.666662931442
50000,48005,39183,14129.032796859741
51000,48972,39863,14525.373554944992
52000,49929,40613,14898.190644979477
53000,50898,41328,15267.898568630219
54000,51867,42040,15627.228116989136
55000,52831,42751,15991.93202996254
56000,53790,43463,16364.189859867096
57000,54764,44169,16741.31946873665
58000,55724,44858,17122.882565259933
59000,56677,45564,17501.9827105999
60000,57630,46275,17882.079439163208
61000,58591,46970,18252.953654766083
62000,59549,47668,18638.060204029083
63000,60513,48345,19003.198964357376
64000,61474,49015,19385.807003736496
65000,62435,49678,19769.730541467667
66000,63393,50370,20163.455924272537
67000,64353,51043,20541.85991668701
68000,65323,51719,20926.770423173904
69000,66275,52403,21290.585824728012
70000,67243,53085,21652.325419187546
71000,68203,53726,22045.436450242996
72000,69160,54411,22425.451411485672
73000,70125,55084,22642.21403503418
74000,71077,55792,22770.167462348938
75000,72040,56453,22894.632354974747
76000,72992,57131,23278.649519205093
77000,73943,57811,23658.769889116287
78000,74893,58472,24052.655764341354
79000,75854,59159,24434.114152908325
80000,76810,59820,24827.82923269272
81000,77758,60484,25220.158543109894
82000,78713,61174,25608.228586912155
83000,79657,61837,25990.082712888718
84000,80616,62498,26377.94424510002
85000,81570,63141,26775.003520011902
86000,82528,63797,27178.90109539032
87000,83476,64465,27584.218205690384
88000,84438,65108,27989.917962789536
89000,85400,65745,28387.052878141403
90000,86364,66384,28786.754383563995
91000,87319,67051,29180.37976169586
92000,88279,67688,29593.401526927948
93000,89237,68331,29995.253708600998
94000,90198,68952,30408.075183153152
95000,91164,69597,30818.479343891144
96000,92131,70228,31235.728346824646
