Time(Iteration),Random,LinUCB,LinUCB_time 0.05 0.01
1000,956,939,0.3736441135406494
2000,1921,1872,0.8519546985626221
3000,2896,2797,1.0638072490692139
4000,3850,3685,1.5144567489624023
5000,4809,4597,1.9035046100616455
6000,5771,5490,2.328155040740967
7000,6726,6343,2.8275372982025146
8000,7689,7213,3.2020621299743652
9000,8646,8087,3.6059341430664062
10000,9605,8941,4.060781002044678
11000,10554,9821,4.3317711353302
12000,11514,10662,4.8680009841918945
13000,12471,11484,5.241626501083374
14000,13431,12289,5.5875818729400635
15000,14392,13099,6.129358291625977
16000,15335,13916,6.547031879425049
17000,16290,14706,6.848973989486694
18000,17248,15513,7.380949258804321
19000,18215,16317,7.797587871551514
20000,19172,17085,8.254856824874878
21000,20146,17861,8.616340398788452
22000,21094,18627,9.042185544967651
23000,22055,19391,9.585751295089722
24000,23012,20165,10.06617259979248
25000,23970,20906,10.373415470123291
26000,24932,21683,10.69242262840271
27000,25896,22448,11.092597723007202
28000,26853,23223,11.583515167236328
29000,27822,23967,11.865176439285278
30000,28782,24737,12.30394196510315
31000,29741,25493,12.663404703140259
32000,30696,26245,13.021185398101807
33000,31659,26983,13.592024326324463
34000,32621,27727,13.8864107131958
35000,33588,28473,14.367957353591919
36000,34550,29180,14.889684200286865
37000,35509,29953,15.157760620117188
38000,36473,30688,15.562219858169556
39000,37428,31410,16.09850811958313
40000,38392,32078,16.442683696746826
41000,39358,32787,16.78787136077881
42000,40319,33521,17.10463547706604
43000,41274,34248,17.498525142669678
44000,42232,34948,17.81067204475403
45000,43190,35663,18.200001001358032
46000,44150,36379,18.422497749328613
47000,45108,37116,18.920635223388672
48000,46072,37837,19.262107610702515
49000,47037,38547,19.67888569831848
50000,48003,39255,20.0265691280365
51000,48970,39955,20.453157901763916
52000,49922,40670,20.888171672821045
53000,50881,41374,21.30627179145813
54000,51846,42071,21.69001269340515
55000,52814,42779,22.06735324859619
56000,53774,43480,22.438922882080078
57000,54746,44183,22.867703199386597
58000,55717,44863,23.19495987892151
59000,56680,45548,23.723487377166748
60000,57631,46239,24.074108600616455
61000,58594,46914,24.375344276428223
62000,59552,47604,24.788215160369873
63000,60518,48271,25.220409393310547
64000,61478,48944,25.549906969070435
65000,62442,49620,25.986513137817383
66000,63409,50323,26.309880256652832
67000,64367,51027,26.681898832321167
68000,65333,51682,27.028435230255127
69000,66284,52369,27.40845274925232
70000,67249,53056,27.940722465515137
71000,68205,53719,28.272953271865845
72000,69152,54406,28.68992853164673
73000,70107,55064,29.028967142105103
74000,71062,55733,29.388922929763794
75000,72020,56398,29.808631420135498
76000,72976,57059,30.11709213256836
77000,73939,57728,30.568584203720093
78000,74887,58388,30.95163893699646
79000,75841,59093,31.3296639919281
80000,76799,59758,31.729008436203003
81000,77748,60413,32.01962161064148
82000,78715,61092,32.39655518531799
83000,79674,61751,32.801533460617065
84000,80638,62415,33.14563488960266
85000,81601,63060,33.53537964820862
86000,82558,63718,34.08486318588257
87000,83512,64359,34.43033146858215
88000,84472,64995,34.77882242202759
89000,85437,65657,35.070472955703735
90000,86407,66301,35.47409629821777
91000,87362,66955,35.7917685508728
92000,88328,67586,36.19382572174072
93000,89285,68257,36.571422815322876
94000,90237,68926,36.90272665023804
95000,91196,69583,37.274272441864014
96000,92143,70236,37.752699851989746
