Time(Iteration),Random,LinUCB,LinUCB_time 1.0 0.5
1000,962,950,0.3143472671508789
2000,1921,1898,0.7035079002380371
3000,2876,2837,1.0652666091918945
4000,3843,3745,1.4648456573486328
5000,4809,4656,1.8278663158416748
6000,5775,5572,2.234405994415283
7000,6729,6472,2.673906087875366
8000,7693,7375,3.1334011554718018
9000,8653,8289,3.5942564010620117
10000,9609,9184,3.984797477722168
11000,10574,10095,4.347578287124634
12000,11531,10984,4.669517517089844
13000,12488,11864,5.029476881027222
14000,13456,12726,5.375837802886963
15000,14426,13585,5.79596209526062
16000,15385,14434,6.162520170211792
17000,16344,15296,6.639355421066284
18000,17312,16155,7.113663673400879
19000,18277,16995,7.608669996261597
20000,19237,17831,7.897257566452026
21000,20194,18652,8.425283670425415
22000,21151,19476,8.810685396194458
23000,22107,20282,9.226067543029785
24000,23068,21081,9.78498888015747
25000,24023,21904,10.184175252914429
26000,24980,22738,10.653389692306519
27000,25938,23574,11.216437578201294
28000,26885,24398,11.597625494003296
29000,27847,25205,12.01498532295227
30000,28804,26013,12.394856929779053
31000,29761,26841,12.84320878982544
32000,30721,27664,13.448695421218872
33000,31686,28457,13.957568168640137
34000,32645,29238,14.221265077590942
35000,33607,30050,14.622551202774048
36000,34575,30842,14.970374822616577
37000,35536,31661,15.374731540679932
38000,36498,32448,15.71724796295166
39000,37450,33223,16.082127332687378
40000,38405,33970,16.58942675590515
41000,39356,34763,16.981821298599243
42000,40321,35570,17.384861707687378
43000,41285,36362,17.806715488433838
44000,42235,37142,18.320640563964844
45000,43197,37925,18.884968519210815
46000,44160,38686,19.269126892089844
47000,45118,39484,19.743059635162354
48000,46080,40252,20.223259210586548
49000,47034,41022,20.46868085861206
50000,47992,41808,21.014973878860474
51000,48958,42551,21.300512552261353
52000,49923,43345,21.81637477874756
53000,50878,44112,22.039238214492798
54000,51841,44885,22.567009210586548
55000,52807,45663,22.96621823310852
56000,53774,46445,23.308624029159546
57000,54745,47199,23.782152891159058
58000,55699,47952,24.14366126060486
59000,56660,48697,24.48723816871643
60000,57624,49451,24.917194604873657
61000,58580,50206,25.279520750045776
62000,59544,50959,25.742681980133057
63000,60498,51681,26.24045419692993
64000,61458,52406,26.67027449607849
65000,62418,53156,27.219301223754883
66000,63378,53915,27.638295650482178
67000,64344,54687,27.970775604248047
68000,65296,55436,28.34574604034424
69000,66252,56187,28.84376621246338
70000,67211,56950,29.18190050125122
71000,68174,57670,29.615893125534058
72000,69140,58414,30.151999711990356
73000,70108,59166,30.56959891319275
74000,71064,59917,30.861076831817627
75000,72023,60645,31.404457092285156
76000,72987,61376,31.66443657875061
77000,73947,62104,32.15615177154541
78000,74916,62843,32.65273928642273
79000,75879,63600,32.87543606758118
80000,76845,64344,33.40256404876709
81000,77801,65060,33.81416988372803
82000,78770,65796,34.128942012786865
83000,79743,66507,34.492748975753784
84000,80709,67226,34.87915539741516
85000,81664,67951,35.42312169075012
86000,82629,68676,35.86431622505188
87000,83578,69404,36.18739032745361
88000,84537,70101,36.53700065612793
89000,85488,70824,36.856268644332886
90000,86449,71556,37.40651535987854
91000,87405,72310,37.733237504959106
92000,88365,73006,38.18618559837341
93000,89337,73738,38.62364602088928
94000,90298,74457,38.95087146759033
95000,91262,75182,39.55679702758789
96000,92214,75901,39.92798113822937
