Time(Iteration),Random,NeuralPHE,NeuralPHE_time
1000,950,933,19.2035551071167
2000,1907,1839,50.574044942855835
3000,2867,2737,90.0636534690857
4000,3829,3594,137.9265332221985
5000,4792,4440,190.18167233467102
6000,5753,5270,248.90345764160156
7000,6707,6100,310.07955265045166
8000,7658,6916,374.43756341934204
9000,8620,7713,441.1383173465729
10000,9573,8516,511.5029809474945
11000,10533,9298,584.0591926574707
12000,11489,10092,660.5753202438354
13000,12430,10869,735.8295373916626
14000,13389,11609,816.4152438640594
15000,14347,12376,895.1052579879761
16000,15295,13124,973.9185516834259
17000,16251,13877,1054.040913105011
18000,17211,14628,1134.8542659282684
19000,18180,15367,1213.8168966770172
20000,19126,16088,1295.2646732330322
21000,20095,16798,1379.6704020500183
22000,21049,17520,1463.499050617218
23000,22004,18238,1544.56379032135
24000,22970,18949,1625.5454280376434
25000,23928,19646,1711.4883337020874
26000,24894,20372,1795.2575311660767
27000,25849,21068,1882.8526887893677
28000,26805,21781,1964.6969532966614
29000,27760,22450,2053.5863065719604
30000,28724,23141,2142.1305570602417
31000,29689,23840,2230.129725217819
32000,30648,24526,2316.7549204826355
33000,31614,25201,2405.5648164749146
34000,32579,25884,2492.347318172455
35000,33542,26575,2581.44531750679
36000,34505,27240,2670.448836326599
37000,35464,27935,2759.976891517639
38000,36417,28628,2849.566465854645
39000,37381,29278,2940.0339262485504
40000,38348,29912,3031.6392023563385
41000,39296,30573,3123.8281543254852
42000,40260,31237,3213.672727584839
43000,41224,31919,3303.9139606952667
44000,42181,32582,3394.6914994716644
45000,43147,33212,3485.067369222641
46000,44103,33880,3578.440020084381
47000,45059,34519,3669.5397267341614
48000,46021,35155,3761.066518306732
49000,46982,35782,3853.387866973877
50000,47951,36424,3948.802681684494
51000,48915,37055,4042.382568359375
52000,49870,37718,4135.6239132881165
53000,50840,38364,4227.86320400238
54000,51802,38993,4321.893761634827
55000,52761,39604,4416.043793439865
56000,53724,40238,4511.5315709114075
57000,54694,40874,4605.042311191559
58000,55650,41489,4697.2741067409515
59000,56600,42107,4786.767652273178
60000,57551,42724,4876.339245557785
61000,58507,43327,4966.128910541534
62000,59474,43955,5055.566431283951
63000,60432,44573,5145.914754152298
64000,61399,45184,5234.737813711166
65000,62363,45778,5324.164782524109
66000,63314,46421,5413.340923070908
67000,64279,47026,5502.693736076355
68000,65245,47632,5594.315609931946
69000,66196,48249,5684.18257689476
70000,67155,48856,5775.504714250565
71000,68110,49467,5865.500864028931
72000,69061,50079,5954.219237089157
73000,70017,50695,6047.909810066223
74000,70977,51307,6154.534321308136
75000,71935,51888,6258.965345859528
76000,72896,52475,6353.845875263214
77000,73853,53072,6452.084937572479
78000,74801,53657,6542.568688154221
79000,75753,54281,6634.223026752472
80000,76714,54890,6725.380338907242
81000,77670,55482,6817.330615758896
82000,78634,56084,6910.449885845184
83000,79583,56674,7002.371265888214
84000,80543,57280,7093.882335662842
85000,81502,57864,7187.055169343948
86000,82473,58465,7278.693931818008
87000,83432,59051,7375.500129461288
88000,84397,59618,7467.557201862335
89000,85347,60180,7560.754573106766
90000,86315,60749,7652.987715482712
91000,87284,61368,7745.792366266251
92000,88247,61936,7840.596645355225
93000,89207,62493,7934.911036968231
94000,90166,63066,8035.647020339966
95000,91133,63635,8129.941118478775
96000,92088,64202,8224.498772859573
