Time(Iteration),Random,LinUCB,LinUCB_time 0.01 0.05
1000,972,957,0.28344202041625977
2000,1937,1891,0.708385705947876
3000,2903,2793,1.121474266052246
4000,3862,3673,1.4435758590698242
5000,4828,4554,1.8834073543548584
6000,5784,5413,2.2867443561553955
7000,6749,6263,2.815788745880127
8000,7719,7111,3.2131242752075195
9000,8683,7952,3.573028564453125
10000,9633,8784,3.931893825531006
11000,10585,9622,4.366786956787109
12000,11544,10426,4.761564016342163
13000,12497,11235,5.17268967628479
14000,13449,11997,5.563135385513306
15000,14409,12797,6.044516324996948
16000,15358,13576,6.4585559368133545
17000,16314,14352,6.8877339363098145
18000,17267,15140,7.329812288284302
19000,18238,15942,7.713106632232666
20000,19212,16697,8.025444269180298
21000,20179,17463,8.413048505783081
22000,21144,18230,8.862918615341187
23000,22101,18967,9.156930208206177
24000,23065,19717,9.683775663375854
25000,24024,20464,9.995970010757446
26000,24984,21212,10.379678726196289
27000,25950,21964,10.690489292144775
28000,26909,22716,11.118796586990356
29000,27880,23454,11.689037084579468
30000,28847,24198,12.062363624572754
31000,29807,24928,12.594139575958252
32000,30756,25686,13.055203914642334
33000,31716,26412,13.39224123954773
34000,32681,27136,13.80049180984497
35000,33649,27864,14.330362319946289
36000,34612,28562,14.787424564361572
37000,35569,29301,15.304133176803589
38000,36533,30033,15.692940473556519
39000,37493,30723,16.090091943740845
40000,38458,31401,16.464653253555298
41000,39417,32125,16.972031831741333
42000,40375,32848,17.371825695037842
43000,41327,33561,17.781417846679688
44000,42289,34246,18.140028476715088
45000,43246,34953,18.47267723083496
46000,44204,35664,18.87563180923462
47000,45166,36407,19.396353006362915
48000,46124,37113,19.724811553955078
49000,47094,37817,20.199324369430542
50000,48052,38516,20.7203471660614
51000,49019,39191,21.089086055755615
52000,49978,39906,21.58222460746765
53000,50936,40586,21.98780846595764
54000,51902,41269,22.399231672286987
55000,52866,41962,22.867326498031616
56000,53819,42672,23.29328989982605
57000,54776,43377,23.6716468334198
58000,55742,44044,24.071840047836304
59000,56708,44713,24.508395433425903
60000,57660,45391,24.94854760169983
61000,58628,46070,25.31869077682495
62000,59590,46747,25.65085458755493
63000,60552,47404,26.00951910018921
64000,61511,48082,26.33857488632202
65000,62462,48737,26.734912872314453
66000,63425,49429,27.084519147872925
67000,64385,50116,27.494494915008545
68000,65345,50781,27.823190927505493
69000,66304,51461,28.33586359024048
70000,67272,52152,28.726479053497314
71000,68229,52798,29.079225301742554
72000,69192,53471,29.613064527511597
73000,70151,54126,29.921958446502686
74000,71118,54792,30.39443349838257
75000,72072,55439,30.856103897094727
76000,73029,56110,31.111011743545532
77000,73987,56787,31.56867742538452
78000,74953,57443,32.079381227493286
79000,75912,58140,32.5850248336792
80000,76876,58802,33.05745816230774
81000,77839,59454,33.568625688552856
82000,78806,60121,33.98813843727112
83000,79753,60777,34.47943329811096
84000,80706,61447,34.918184995651245
85000,81668,62077,35.275009870529175
86000,82631,62738,35.59889793395996
87000,83581,63405,36.08016109466553
88000,84555,64035,36.50475740432739
89000,85512,64667,36.92434239387512
90000,86473,65311,37.39392971992493
91000,87423,65979,37.81989049911499
92000,88389,66594,38.25776934623718
93000,89359,67253,38.68789792060852
94000,90323,67906,39.136051177978516
95000,91282,68556,39.612388610839844
96000,92252,69203,39.90287160873413
