Time(Iteration),Random,NeuralPHE,NeuralPHE_time
1000,955,934,11.862731695175171
2000,1893,1855,33.564131021499634
3000,2859,2756,64.8067524433136
4000,3813,3637,107.91633677482605
5000,4772,4531,152.51876163482666
6000,5734,5408,202.76651859283447
7000,6691,6256,250.96837711334229
8000,7655,7103,304.38596510887146
9000,8615,7941,355.8034636974335
10000,9572,8774,410.90465688705444
11000,10524,9602,471.64724683761597
12000,11480,10417,531.5987603664398
13000,12440,11233,593.3363318443298
14000,13401,12034,657.3374001979828
15000,14358,12843,720.3239679336548
16000,15307,13643,787.5451836585999
17000,16269,14472,851.3065156936646
18000,17234,15301,919.8718159198761
19000,18191,16089,986.7938401699066
20000,19146,16859,1060.8085792064667
21000,20111,17642,1128.596421957016
22000,21075,18412,1198.4829771518707
23000,22033,19166,1270.4875576496124
24000,22990,19931,1341.1288340091705
25000,23948,20705,1414.085354566574
26000,24905,21474,1488.7243428230286
27000,25879,22238,1563.4341263771057
28000,26843,22991,1636.3587608337402
29000,27800,23749,1711.1586380004883
30000,28764,24500,1787.1119406223297
31000,29710,25270,1862.2369394302368
32000,30676,26018,1937.545271396637
33000,31629,26741,2017.4509544372559
34000,32591,27477,2095.120325088501
35000,33555,28225,2172.5562348365784
36000,34506,28954,2250.9074625968933
37000,35463,29706,2327.991562604904
38000,36418,30449,2407.867484807968
39000,37383,31170,2486.5796728134155
40000,38353,31877,2566.4277386665344
41000,39314,32609,2645.6011106967926
42000,40266,33349,2724.779405117035
43000,41225,34066,2806.06023144722
44000,42171,34768,2891.0719935894012
45000,43137,35494,2972.4627130031586
46000,44084,36210,3055.932940006256
47000,45040,36927,3136.4626297950745
48000,46008,37631,3217.7086503505707
49000,46967,38343,3302.279665708542
50000,47931,39067,3386.121942281723
51000,48886,39763,3473.1703124046326
52000,49855,40475,3553.997715473175
53000,50813,41180,3637.99258518219
54000,51766,41885,3723.452092409134
55000,52730,42570,3808.2953000068665
56000,53700,43269,3893.104292154312
57000,54662,43985,3977.3824014663696
58000,55628,44679,4064.688891649246
59000,56584,45342,4156.60426235199
60000,57531,46024,4240.0692892074585
61000,58493,46686,4328.9911642074585
62000,59453,47385,4413.128077507019
63000,60415,48033,4499.652223110199
64000,61379,48715,4584.347643613815
65000,62342,49372,4668.591158151627
66000,63303,50096,4752.503165483475
67000,64261,50763,4834.150561332703
68000,65223,51401,4918.656628847122
69000,66191,52101,5000.769174814224
70000,67147,52792,5086.10546541214
71000,68102,53449,5171.091748476028
72000,69077,54132,5253.951399564743
73000,70034,54803,5337.861476182938
74000,70992,55493,5422.698549985886
75000,71954,56154,5508.309410095215
76000,72920,56823,5593.686093091965
77000,73881,57506,5679.993517637253
78000,74832,58169,5763.81493139267
79000,75793,58859,5848.516361236572
80000,76763,59518,5936.137882232666
81000,77726,60192,6021.43940782547
82000,78680,60844,6108.880870342255
83000,79647,61489,6198.208792448044
84000,80600,62137,6286.357437372208
85000,81568,62791,6373.899122476578
86000,82511,63419,6461.646307706833
87000,83464,64071,6550.421484231949
88000,84425,64709,6638.720719575882
89000,85386,65344,6726.613529920578
90000,86343,65993,6814.834198474884
91000,87304,66651,6901.948926448822
92000,88263,67284,6992.466832876205
93000,89231,67934,7080.7984828948975
94000,90190,68568,7169.449986219406
95000,91156,69186,7262.686093330383
96000,92117,69810,7352.87925028801
