Time(Iteration),Random,NeuralPHE,NeuralPHE_time
1000,946,942,12.071660995483398
2000,1904,1886,33.95687508583069
3000,2858,2786,66.81277990341187
4000,3828,3688,110.8666341304779
5000,4779,4577,154.62507963180542
6000,5728,5452,201.1651017665863
7000,6683,6330,249.20717763900757
8000,7649,7173,299.400475025177
9000,8624,8004,353.4427680969238
10000,9588,8845,407.0561559200287
11000,10542,9687,466.9107813835144
12000,11498,10521,527.1716156005859
13000,12470,11332,587.7310698032379
14000,13423,12144,651.079992055893
15000,14383,12963,713.4078195095062
16000,15337,13758,779.0788059234619
17000,16306,14561,841.5533998012543
18000,17256,15382,909.7579493522644
19000,18211,16188,973.6717627048492
20000,19172,16989,1039.8536100387573
21000,20131,17747,1109.0922093391418
22000,21086,18518,1176.329158782959
23000,22046,19287,1245.7184002399445
24000,22993,20080,1313.5218470096588
25000,23958,20830,1385.519274711609
26000,24916,21607,1456.586858034134
27000,25872,22366,1528.3775758743286
28000,26831,23133,1600.451763868332
29000,27796,23896,1675.4653375148773
30000,28746,24667,1749.9046936035156
31000,29702,25419,1825.2145261764526
32000,30658,26178,1897.9868562221527
33000,31617,26917,1974.2329368591309
34000,32578,27646,2050.259080171585
35000,33533,28398,2134.850558757782
36000,34494,29129,2213.6402068138123
37000,35454,29869,2291.2191383838654
38000,36419,30618,2369.839186668396
39000,37381,31348,2448.4167523384094
40000,38354,32042,2527.1259005069733
41000,39310,32784,2606.2288870811462
42000,40283,33534,2683.87579870224
43000,41248,34280,2762.897933244705
44000,42196,35013,2843.0091655254364
45000,43159,35741,2922.6078288555145
46000,44121,36461,3005.3823454380035
47000,45078,37187,3082.8107962608337
48000,46039,37913,3161.7364842891693
49000,46986,38627,3243.771104335785
50000,47947,39324,3327.466331720352
51000,48913,40038,3408.677588224411
52000,49873,40760,3489.6946699619293
53000,50828,41457,3571.266990661621
54000,51781,42176,3656.339563846588
55000,52748,42865,3739.020256996155
56000,53710,43568,3823.626828432083
57000,54666,44264,3907.263221025467
58000,55626,44965,3991.2814717292786
59000,56590,45649,4075.8002655506134
60000,57552,46358,4160.56756067276
61000,58512,47033,4245.9150903224945
62000,59476,47751,4329.529230833054
63000,60440,48439,4416.097557783127
64000,61395,49119,4500.211396217346
65000,62348,49792,4583.420841217041
66000,63307,50506,4667.959942579269
67000,64244,51176,4750.85942697525
68000,65196,51851,4837.99422454834
69000,66160,52545,4923.289637804031
70000,67113,53243,5009.97859621048
71000,68063,53922,5095.2924563884735
72000,69008,54597,5181.094006061554
73000,69971,55257,5267.648895263672
74000,70932,55954,5352.4488360881805
75000,71899,56607,5439.009211778641
76000,72858,57266,5525.781103849411
77000,73821,57941,5612.255508422852
78000,74777,58594,5699.294182777405
79000,75743,59288,5785.6783101558685
80000,76705,59939,5871.996487855911
81000,77658,60590,5958.937472105026
82000,78627,61260,6045.219917058945
83000,79595,61889,6132.865975141525
84000,80555,62548,6227.807818174362
85000,81523,63178,6323.058744668961
86000,82495,63825,6414.466811180115
87000,83453,64504,6505.880809783936
88000,84414,65139,6595.976873874664
89000,85366,65764,6685.082854747772
90000,86335,66414,6774.438138008118
91000,87292,67072,6864.614333629608
92000,88253,67704,6957.268627882004
93000,89207,68337,7047.789969205856
94000,90164,68979,7140.8769335746765
95000,91132,69617,7231.240919828415
96000,92101,70248,7323.524123907089
