Time(Iteration),Random,LinUCB,LinUCB_time 0.5 0.05
1000,961,949,0.4328653812408447
2000,1932,1899,0.7782742977142334
3000,2886,2840,1.153681993484497
4000,3839,3769,1.4717559814453125
5000,4789,4687,1.8067102432250977
6000,5747,5601,2.2938292026519775
7000,6706,6501,2.625899314880371
8000,7661,7383,3.1195998191833496
9000,8615,8262,3.47175669670105
10000,9578,9148,3.815103769302368
11000,10544,10037,4.214822292327881
12000,11508,10886,4.620922565460205
13000,12463,11741,4.954322814941406
14000,13420,12576,5.265125513076782
15000,14378,13412,5.586805820465088
16000,15322,14254,5.873131990432739
17000,16280,15094,6.340287923812866
18000,17242,15933,6.5788514614105225
19000,18203,16760,7.056239604949951
20000,19171,17557,7.269348621368408
21000,20112,18347,7.811967134475708
22000,21068,19154,8.285554885864258
23000,22027,19937,8.602790832519531
24000,22987,20726,9.038283109664917
25000,23944,21534,9.573587417602539
26000,24896,22342,9.906533241271973
27000,25857,23139,10.411705255508423
28000,26812,23948,10.964809656143188
29000,27773,24735,11.228363037109375
30000,28737,25534,11.790681600570679
31000,29706,26337,12.119432926177979
32000,30660,27129,12.589071273803711
33000,31627,27909,13.006728887557983
34000,32600,28676,13.398905515670776
35000,33559,29458,13.80438232421875
36000,34529,30218,14.180129766464233
37000,35484,31007,14.577458381652832
38000,36451,31779,14.997070550918579
39000,37409,32538,15.28949499130249
40000,38363,33248,15.701894283294678
41000,39335,34003,16.00271439552307
42000,40288,34772,16.561320304870605
43000,41243,35529,16.89936923980713
44000,42202,36268,17.362929344177246
45000,43165,37010,17.952284574508667
46000,44131,37744,18.257291078567505
47000,45087,38519,18.619479179382324
48000,46049,39261,18.953689575195312
49000,47009,40002,19.393733739852905
50000,47964,40745,19.760952949523926
51000,48928,41469,20.218307971954346
52000,49886,42217,20.634222269058228
53000,50839,42949,21.02224636077881
54000,51796,43685,21.50803518295288
55000,52766,44434,21.979876041412354
56000,53727,45182,22.380377054214478
57000,54693,45914,22.796403408050537
58000,55659,46621,23.242366790771484
59000,56614,47315,23.551833868026733
60000,57570,48029,23.898767709732056
61000,58526,48743,24.34532380104065
62000,59483,49458,24.824200868606567
63000,60448,50150,25.247201919555664
64000,61417,50862,25.68981099128723
65000,62380,51557,26.057873725891113
66000,63351,52292,26.55150556564331
67000,64311,53024,26.933035612106323
68000,65280,53728,27.42537760734558
69000,66240,54442,27.64418363571167
70000,67197,55152,28.169004440307617
71000,68153,55817,28.707871198654175
72000,69121,56534,29.062028884887695
73000,70088,57213,29.548813819885254
74000,71057,57930,29.8987078666687
75000,72017,58619,30.28234338760376
76000,72974,59310,30.61453866958618
77000,73940,60003,31.054199695587158
78000,74903,60702,31.51479697227478
79000,75856,61418,31.797454357147217
80000,76825,62114,32.23703122138977
81000,77783,62787,32.70234680175781
82000,78743,63493,33.00614094734192
83000,79703,64181,33.479304790496826
84000,80666,64866,33.77010130882263
85000,81629,65548,34.25067472457886
86000,82597,66235,34.45319366455078
87000,83553,66931,34.957175731658936
88000,84519,67591,35.23795008659363
89000,85479,68261,35.67993903160095
90000,86444,68942,36.15784239768982
91000,87407,69656,36.40764784812927
92000,88365,70310,36.900280237197876
93000,89329,70993,37.344931840896606
94000,90289,71663,37.607388734817505
95000,91236,72331,38.11103010177612
96000,92201,73007,38.363017320632935
