dimension: 50,n_users: 2100,parameters: {'Theta': True, 'CoTheta': False, 'W': False, 'V': False},alpha: 0.01,lambda_: 0.1,path: ./Dataset/hetrec2011-lastfm-2k/lastfm_user_emd_25_new,hidden_layers: [100],learning_rate: 0.01,learning_rate_decay: 0.97
Time(Iteration),Random,CNeuralUCB,CNeuralUCB_time
1000,966,916,22.793047428131104
2000,1928,1772,77.64541387557983
3000,2896,2606,237.8797686100006
4000,3854,3399,868.1975030899048
