Time(Iteration),Random,LinUCB,LinPHE,ThompsonSampling
1000,967,940,973,938
2000,1921,1876,1913,1850
3000,2890,2808,2822,2742
4000,3851,3712,3706,3623
5000,4814,4601,4601,4484
6000,5770,5478,5471,5334
7000,6740,6348,6323,6175
8000,7699,7199,7172,7026
9000,8666,8056,8023,7862
10000,9628,8903,8869,8680
11000,10590,9768,9712,9510
12000,11536,10591,10535,10307
13000,12507,11432,11365,11110
14000,13476,12251,12148,11885
15000,14433,13069,12964,12682
16000,15392,13870,13775,13453
17000,16349,14674,14558,14234
18000,17308,15477,15361,15010
19000,18278,16270,16167,15762
20000,19234,17048,16935,16510
21000,20184,17811,17718,17250
22000,21143,18583,18485,17990
23000,22103,19338,19254,18695
24000,23063,20099,20018,19430
25000,24018,20862,20778,20179
26000,24971,21641,21551,20919
27000,25927,22420,22315,21652
28000,26891,23189,23075,22387
29000,27847,23947,23812,23092
30000,28818,24702,24573,23831
31000,29777,25456,25341,24560
32000,30740,26216,26119,25286
33000,31697,26979,26867,26005
34000,32666,27711,27620,26689
35000,33632,28451,28366,27412
36000,34577,29167,29094,28101
37000,35545,29922,29849,28822
38000,36495,30677,30584,29533
39000,37455,31402,31301,30248
40000,38411,32076,31987,30905
41000,39362,32805,32724,31606
42000,40321,33534,33469,32307
43000,41291,34267,34200,33031
44000,42260,34981,34926,33729
45000,43226,35693,35648,34414
46000,44187,36410,36365,35111
47000,45139,37161,37098,35817
48000,46087,37885,37812,36492
49000,47037,38604,38509,37177
50000,47999,39313,39228,37878
51000,48964,39990,39929,38540
52000,49925,40709,40637,39232
53000,50886,41412,41351,39911
54000,51839,42113,42052,40589
55000,52804,42816,42742,41251
56000,53764,43548,43468,41945
57000,54727,44261,44155,42636
58000,55684,44959,44843,43285
59000,56638,45644,45529,43953
60000,57598,46349,46246,44622
61000,58556,47057,46940,45303
62000,59516,47748,47621,45950
63000,60474,48411,48312,46606
64000,61424,49097,48989,47252
65000,62384,49784,49638,47901
66000,63337,50491,50356,48584
67000,64305,51202,51055,49252
68000,65262,51881,51717,49927
69000,66216,52575,52436,50596
70000,67183,53269,53153,51243
71000,68137,53911,53819,51870
72000,69086,54606,54508,52518
73000,70049,55270,55191,53162
74000,71011,55954,55869,53803
75000,71964,56617,56534,54451
76000,72914,57288,57185,55085
77000,73876,57974,57869,55740
78000,74834,58652,58521,56372
79000,75787,59363,59216,57054
80000,76750,60047,59888,57725
81000,77707,60710,60529,58363
82000,78671,61388,61212,59034
83000,79627,62064,61894,59687
84000,80591,62756,62560,60344
85000,81547,63413,63191,60964
86000,82510,64080,63846,61607
87000,83471,64757,64500,62237
88000,84432,65405,65139,62852
89000,85386,66058,65782,63481
90000,86350,66727,66420,64126
91000,87308,67429,67094,64779
92000,88263,68065,67719,65410
93000,89227,68729,68385,66040
94000,90183,69376,69042,66660
95000,91149,70029,69702,67293
96000,92099,70695,70358,67927
