Time(Iteration),Random,NeuralPHE,NeuralPHE_time
1000,963,936,65.06654000282288
2000,1924,1845,120.43545722961426
3000,2879,2750,288.07012391090393
4000,3833,3613,479.8888349533081
5000,4799,4481,689.0926699638367
6000,5768,5326,911.095401763916
7000,6729,6160,1119.112208366394
8000,7682,6978,1340.588490486145
9000,8642,7792,1580.991280555725
10000,9597,8596,1822.1335945129395
11000,10564,9397,2072.5735952854156
12000,11534,10206,2323.628490447998
13000,12503,10976,2581.822863817215
14000,13461,11740,2820.578733444214
15000,14422,12521,3091.529369354248
16000,15389,13287,3370.168956756592
17000,16364,14048,3638.2632489204407
18000,17326,14813,3924.3744220733643
19000,18301,15565,4202.390440225601
20000,19254,16306,4482.910740375519
21000,20214,17018,4765.8408880233765
22000,21179,17750,5045.235218048096
23000,22129,18474,5337.016089916229
24000,23084,19208,5614.274125337601
25000,24046,19944,5909.921990633011
26000,25005,20693,6202.230234861374
27000,25963,21419,6503.9842982292175
28000,26928,22143,6836.771835327148
29000,27890,22856,7157.436138629913
30000,28850,23559,7467.673318147659
31000,29810,24282,7793.896774291992
32000,30758,24996,8099.783410072327
33000,31705,25680,8394.689036130905
34000,32672,26412,8685.292479515076
35000,33630,27127,8978.714516162872
36000,34592,27800,9272.116799116135
37000,35561,28504,9564.901530742645
38000,36525,29203,9865.61068034172
39000,37485,29894,10159.229995727539
40000,38449,30562,10484.346518039703
41000,39400,31259,10838.592694759369
42000,40360,31969,11188.32703447342
43000,41317,32653,11538.39902472496
44000,42276,33338,11844.292873620987
45000,43223,34004,12147.195997476578
46000,44175,34676,12458.039389133453
47000,45147,35373,12760.322122812271
48000,46103,36051,13062.148236989975
49000,47065,36718,13372.637278079987
50000,48022,37376,13723.671260595322
51000,48979,38053,14073.08754324913
52000,49934,38738,14423.949719667435
53000,50900,39402,14777.268936872482
54000,51864,40063,15131.357010364532
55000,52817,40700,15481.40491437912
56000,53778,41352,15834.8993704319
57000,54738,41999,16182.239379644394
58000,55705,42664,16534.506137132645
59000,56674,43320,16887.80769968033
60000,57634,43967,17206.046884059906
61000,58586,44606,17517.500181913376
62000,59552,45254,17824.089824199677
63000,60496,45885,18138.976197242737
64000,61451,46520,18450.915944337845
65000,62405,47148,18762.270551919937
66000,63359,47800,19072.784133434296
67000,64318,48441,19384.57355737686
68000,65280,49072,19697.391807317734
69000,66239,49725,20008.905672311783
70000,67202,50381,20319.212807655334
71000,68153,50991,20629.621024608612
72000,69115,51648,20937.88189148903
73000,70077,52280,21246.94931936264
74000,71039,52902,21561.311443567276
75000,71989,53518,21874.600118875504
76000,72951,54143,22177.904424905777
77000,73907,54777,22459.532205104828
78000,74869,55398,22724.866423606873
79000,75825,56042,22978.791356801987
80000,76773,56658,23219.287734746933
81000,77740,57256,23442.68554520607
82000,78687,57898,23713.742037296295
83000,79653,58494,23999.023770093918
84000,80611,59122,24276.489847421646
85000,81566,59732,24550.640273332596
86000,82527,60364,24816.01459622383
87000,83482,60977,25107.351987361908
88000,84435,61561,25396.745265245438
89000,85392,62154,25689.77466726303
90000,86351,62747,25965.668336629868
91000,87308,63376,26248.14666700363
92000,88274,63965,26548.921659708023
93000,89230,64572,26805.10317516327
94000,90191,65166,27083.71184706688
95000,91153,65758,27389.704343795776
96000,92117,66376,27662.373353242874
