Time(Iteration),Random,LinUCB,LinUCB_time 0.5 0.01
1000,958,944,0.5505454540252686
2000,1918,1898,1.0455734729766846
3000,2883,2849,1.3340873718261719
4000,3840,3781,1.8304708003997803
5000,4800,4713,2.3969242572784424
6000,5768,5644,2.7208359241485596
7000,6741,6547,3.2189271450042725
8000,7697,7441,3.522157669067383
9000,8647,8335,3.9344115257263184
10000,9614,9231,4.423185110092163
11000,10570,10132,4.673559188842773
12000,11531,10991,5.129467010498047
13000,12484,11867,5.467257738113403
14000,13442,12706,5.836306810379028
15000,14391,13544,6.295677661895752
16000,15348,14392,6.594576835632324
17000,16324,15225,7.129642009735107
18000,17284,16075,7.5600597858428955
19000,18250,16900,7.857173919677734
20000,19220,17706,8.286912441253662
21000,20174,18514,8.692108869552612
22000,21116,19316,9.112164497375488
23000,22071,20131,9.603737354278564
24000,23031,20910,10.013930082321167
25000,23984,21702,10.289232015609741
26000,24939,22509,10.696644067764282
27000,25907,23313,11.298141956329346
28000,26871,24124,11.740314960479736
29000,27829,24924,12.202230453491211
30000,28791,25714,12.734984636306763
31000,29745,26510,13.29065752029419
32000,30708,27306,13.634066820144653
33000,31660,28086,14.109429359436035
34000,32612,28853,14.533071756362915
35000,33571,29628,14.972357988357544
36000,34529,30401,15.403367042541504
37000,35486,31196,15.746779441833496
38000,36451,31976,16.21389651298523
39000,37406,32741,16.571200132369995
40000,38370,33466,17.042630195617676
41000,39328,34229,17.48147988319397
42000,40290,34998,17.94918441772461
43000,41238,35764,18.302399396896362
44000,42187,36514,18.777772426605225
45000,43156,37263,19.184046506881714
46000,44119,38015,19.438677072525024
47000,45079,38792,19.950157403945923
48000,46036,39549,20.25333523750305
49000,46998,40293,20.676950931549072
50000,47959,41049,21.023304224014282
51000,48916,41766,21.373867511749268
52000,49868,42510,21.7391676902771
53000,50838,43250,22.097783088684082
54000,51804,43984,22.547961950302124
55000,52763,44727,22.881558895111084
56000,53728,45480,23.233897924423218
57000,54687,46207,23.746609926223755
58000,55650,46916,24.110125064849854
59000,56601,47625,24.642099618911743
60000,57560,48346,25.051449060440063
61000,58533,49069,25.461029052734375
62000,59494,49799,25.909750938415527
63000,60462,50491,26.280662536621094
64000,61422,51215,26.689586639404297
65000,62385,51922,27.010563611984253
66000,63345,52646,27.48291563987732
67000,64313,53388,27.873620986938477
68000,65269,54097,28.286649703979492
69000,66234,54819,28.631094932556152
70000,67187,55545,28.995743989944458
71000,68145,56228,29.3930606842041
72000,69115,56934,29.659499883651733
73000,70074,57616,30.003973484039307
74000,71045,58327,30.35672616958618
75000,71994,59023,30.960327863693237
76000,72960,59721,31.44353151321411
77000,73921,60422,31.699909925460815
78000,74878,61110,32.177979707717896
79000,75838,61839,32.43537926673889
80000,76794,62547,32.896543741226196
81000,77757,63227,33.19842314720154
82000,78709,63934,33.631041288375854
83000,79662,64607,33.986626625061035
84000,80627,65304,34.43014621734619
85000,81592,65981,34.829627990722656
86000,82548,66683,35.13367748260498
87000,83507,67364,35.59821939468384
88000,84466,68024,35.86577892303467
89000,85443,68689,36.330246686935425
90000,86396,69366,36.67759943008423
91000,87364,70075,37.16305923461914
92000,88318,70741,37.51862072944641
93000,89277,71429,37.897908449172974
94000,90238,72111,38.32335090637207
95000,91207,72777,38.61442828178406
96000,92172,73455,39.0176157951355
