Time(Iteration),Random,LinUCB,LinUCB_time 0.05 1.0
1000,963,930,0.3111717700958252
2000,1937,1856,0.6571371555328369
3000,2890,2751,0.982142448425293
4000,3853,3609,1.3721919059753418
5000,4806,4469,1.6931211948394775
6000,5756,5310,2.086071014404297
7000,6727,6136,2.4364445209503174
8000,7671,6974,2.8441224098205566
9000,8630,7799,3.269542932510376
10000,9596,8599,3.533921241760254
11000,10561,9399,3.9954123497009277
12000,11529,10189,4.25685715675354
13000,12488,10985,4.748856067657471
14000,13442,11735,5.084889888763428
15000,14402,12506,5.47454833984375
16000,15358,13282,5.920844316482544
17000,16316,14029,6.290586709976196
18000,17275,14795,6.666787385940552
19000,18237,15564,6.908446311950684
20000,19190,16299,7.3102827072143555
21000,20148,17052,7.5599775314331055
22000,21116,17781,8.003147840499878
23000,22070,18525,8.433012247085571
24000,23025,19255,8.894244909286499
25000,23995,19962,9.36471939086914
26000,24955,20703,9.701792240142822
27000,25911,21432,10.053951978683472
28000,26870,22180,10.451903581619263
29000,27832,22886,10.91508173942566
30000,28791,23611,11.389641761779785
31000,29756,24354,11.739562034606934
32000,30710,25080,12.019784450531006
33000,31670,25793,12.44754409790039
34000,32632,26493,12.91528034210205
35000,33599,27202,13.476527214050293
36000,34560,27883,13.853275060653687
37000,35514,28598,14.346219539642334
38000,36473,29315,14.724942684173584
39000,37437,30009,15.13742709159851
40000,38394,30652,15.641144037246704
41000,39361,31348,15.977383852005005
42000,40321,32054,16.35358738899231
43000,41276,32768,16.791868686676025
44000,42229,33452,17.22346067428589
45000,43177,34141,17.581079244613647
46000,44141,34827,18.179052352905273
47000,45106,35536,18.686967611312866
48000,46081,36216,19.056461811065674
49000,47044,36873,19.511592626571655
50000,48001,37545,20.05812120437622
51000,48961,38205,20.631872415542603
52000,49918,38906,21.05649423599243
53000,50884,39580,21.443217992782593
54000,51849,40265,21.778525352478027
55000,52806,40934,22.30864930152893
56000,53775,41619,22.779192209243774
57000,54741,42303,23.19946265220642
58000,55706,42954,23.468078136444092
59000,56656,43609,23.90080237388611
60000,57615,44266,24.156227588653564
61000,58578,44922,24.621726036071777
62000,59536,45569,25.14402937889099
63000,60501,46215,25.389291048049927
64000,61465,46863,25.820061206817627
65000,62433,47496,26.112048387527466
66000,63393,48175,26.586782693862915
67000,64343,48859,26.83429789543152
68000,65296,49518,27.310104370117188
69000,66265,50192,27.719232082366943
70000,67226,50861,28.046043157577515
71000,68176,51499,28.526267766952515
72000,69133,52169,29.015952110290527
73000,70101,52803,29.43989109992981
74000,71059,53467,30.03294277191162
75000,72019,54117,30.341206789016724
76000,72990,54756,30.751749277114868
77000,73951,55431,31.254312992095947
78000,74909,56077,31.620460271835327
79000,75871,56759,32.13276529312134
80000,76821,57409,32.53810262680054
81000,77781,58046,32.886610984802246
82000,78737,58698,33.28332543373108
83000,79703,59349,33.66578793525696
84000,80668,60003,34.057395219802856
85000,81630,60633,34.433520555496216
86000,82595,61259,34.85788321495056
87000,83554,61885,35.35534405708313
88000,84527,62488,35.68005633354187
89000,85491,63090,36.20025682449341
90000,86451,63740,36.71064066886902
91000,87407,64386,37.19935202598572
92000,88359,64993,37.517582654953
93000,89326,65607,37.98061537742615
94000,90285,66245,38.362186670303345
95000,91248,66874,38.75306677818298
96000,92197,67530,39.168336629867554
