Time(Iteration),Random,LinUCB,LinUCB_time 0.05 0.5
1000,961,940,0.44626402854919434
2000,1919,1858,0.735797643661499
3000,2884,2770,1.2880609035491943
4000,3837,3651,1.640561819076538
5000,4798,4520,2.0135016441345215
6000,5760,5386,2.492391347885132
7000,6713,6224,2.705152750015259
8000,7666,7080,3.2216103076934814
9000,8626,7909,3.633197069168091
10000,9587,8730,3.9949519634246826
11000,10548,9555,4.5133373737335205
12000,11513,10341,4.908435821533203
13000,12481,11140,5.262650966644287
14000,13437,11893,5.6437952518463135
15000,14391,12677,6.1800220012664795
16000,15351,13450,6.595799684524536
17000,16311,14231,6.977087020874023
18000,17281,15005,7.380608797073364
19000,18235,15773,7.760797500610352
20000,19187,16495,8.316046714782715
21000,20154,17244,8.753856658935547
22000,21115,17986,9.075872659683228
23000,22083,18707,9.511658668518066
24000,23046,19421,9.804958820343018
25000,24000,20136,10.136969804763794
26000,24954,20880,10.577162504196167
27000,25909,21599,10.873709440231323
28000,26863,22322,11.4977867603302
29000,27830,23027,11.870350360870361
30000,28783,23737,12.165993213653564
31000,29751,24475,12.540374994277954
32000,30707,25195,12.852293491363525
33000,31661,25904,13.184889554977417
34000,32628,26601,13.539867639541626
35000,33596,27297,13.958810806274414
36000,34557,27972,14.233981847763062
37000,35517,28689,14.666375160217285
38000,36472,29395,14.91599440574646
39000,37429,30079,15.341930150985718
40000,38392,30725,15.78207540512085
41000,39349,31423,16.040520906448364
42000,40315,32097,16.610322952270508
43000,41271,32804,16.90145492553711
44000,42231,33497,17.369964122772217
45000,43205,34190,17.64074420928955
46000,44168,34879,18.036768198013306
47000,45134,35599,18.333498239517212
48000,46095,36265,18.671794176101685
49000,47055,36935,18.95118236541748
50000,48016,37603,19.314136743545532
51000,48975,38266,19.793829679489136
52000,49935,38957,20.174922227859497
53000,50887,39639,20.597182512283325
54000,51853,40319,21.157885551452637
55000,52816,40986,21.47009015083313
56000,53773,41673,21.90948987007141
57000,54741,42344,22.31543755531311
58000,55700,43012,22.603420734405518
59000,56672,43684,23.1004741191864
60000,57627,44341,23.350841522216797
61000,58588,45013,23.960705757141113
62000,59552,45674,24.455660820007324
63000,60507,46318,24.918601989746094
64000,61466,46969,25.256030559539795
65000,62425,47625,25.642650604248047
66000,63377,48310,26.09967017173767
67000,64346,48995,26.683176517486572
68000,65315,49655,27.206136226654053
69000,66277,50326,27.56016230583191
70000,67242,50976,27.994771242141724
71000,68197,51606,28.52817964553833
72000,69146,52271,28.9188334941864
73000,70105,52908,29.387234926223755
74000,71064,53569,29.88587713241577
75000,72025,54209,30.211071729660034
76000,72977,54858,30.751585245132446
77000,73932,55521,31.155784368515015
78000,74891,56174,31.573536157608032
79000,75842,56848,32.01493859291077
80000,76813,57508,32.4193069934845
81000,77771,58149,32.7650032043457
82000,78725,58810,33.16488337516785
83000,79688,59469,33.432701587677
84000,80647,60116,33.80399703979492
85000,81605,60742,34.169116735458374
86000,82571,61383,34.67014837265015
87000,83532,62020,34.90813422203064
88000,84498,62620,35.394598960876465
89000,85459,63229,35.80766534805298
90000,86419,63866,36.149375200271606
91000,87375,64528,36.58204245567322
92000,88337,65150,36.862083196640015
93000,89295,65804,37.313652992248535
94000,90256,66425,37.573254346847534
95000,91219,67047,38.04780602455139
96000,92186,67678,38.33894968032837
