Time(Iteration),Random,NeuralPHE,NeuralPHE_time
1000,962,941,9.446468591690063
2000,1916,1870,23.52992820739746
3000,2881,2756,42.08763885498047
4000,3841,3648,64.8219861984253
5000,4802,4539,90.78920292854309
6000,5754,5414,118.27015519142151
7000,6713,6269,147.44699144363403
8000,7676,7121,182.00154948234558
9000,8634,7969,219.12369775772095
10000,9597,8811,258.6996865272522
11000,10557,9651,298.3697257041931
12000,11523,10474,340.77618312835693
13000,12481,11298,385.44123792648315
14000,13437,12119,429.49614453315735
15000,14400,12936,483.5138509273529
16000,15361,13752,529.2997658252716
17000,16323,14548,575.7296087741852
18000,17289,15365,626.0591561794281
19000,18258,16142,676.9672467708588
20000,19219,16904,730.7815754413605
21000,20189,17661,782.7309846878052
22000,21156,18431,839.6988341808319
23000,22120,19172,895.7058229446411
24000,23073,19939,951.2732844352722
25000,24031,20684,1008.667153596878
26000,25001,21464,1067.2651550769806
27000,25963,22226,1127.4926648139954
28000,26916,22982,1187.4747874736786
29000,27884,23731,1252.9388589859009
30000,28848,24459,1318.7057092189789
31000,29816,25213,1384.0934653282166
32000,30777,25948,1449.5475854873657
33000,31742,26664,1514.96275639534
34000,32706,27389,1582.3716197013855
35000,33673,28150,1649.4623539447784
36000,34635,28887,1716.5358982086182
37000,35604,29632,1781.3091831207275
38000,36575,30349,1849.442354440689
39000,37531,31072,1913.3698241710663
40000,38494,31767,1980.0846667289734
41000,39454,32488,2046.7363061904907
42000,40411,33215,2120.74920630455
43000,41372,33925,2189.317449569702
44000,42329,34624,2259.263632774353
45000,43291,35330,2328.3863451480865
46000,44249,36056,2401.655374288559
47000,45208,36764,2471.117777109146
48000,46157,37469,2542.1147787570953
49000,47114,38157,2616.0972340106964
50000,48079,38858,2688.852851867676
51000,49021,39569,2761.4594552516937
52000,49983,40288,2833.795708179474
53000,50952,40984,2908.6290209293365
54000,51909,41688,2983.3650364875793
55000,52852,42393,3057.2872433662415
56000,53811,43105,3132.7419946193695
57000,54756,43803,3207.9261038303375
58000,55710,44479,3283.5616075992584
59000,56682,45140,3358.566193342209
60000,57645,45844,3432.937544107437
61000,58603,46527,3508.3488388061523
62000,59556,47236,3583.8573858737946
63000,60532,47897,3662.651388168335
64000,61487,48572,3738.6827931404114
65000,62444,49230,3815.1932203769684
66000,63392,49948,3891.566681623459
67000,64352,50620,3966.1383352279663
68000,65306,51276,4045.6362359523773
69000,66259,51944,4130.828303575516
70000,67221,52616,4216.561803340912
71000,68177,53286,4297.068456172943
72000,69141,53983,4376.350675344467
73000,70097,54649,4457.581904172897
74000,71064,55312,4537.702619791031
75000,72020,55980,4617.639956951141
76000,72981,56646,4698.301744937897
77000,73942,57331,4780.018918514252
78000,74913,57980,4860.382260799408
79000,75888,58675,4942.564478635788
80000,76844,59359,5026.988574266434
81000,77800,60013,5111.047591686249
82000,78760,60664,5197.769971609116
83000,79726,61307,5280.017301797867
84000,80688,61979,5366.306986570358
85000,81644,62629,5450.4834661483765
86000,82603,63296,5534.810386419296
87000,83562,63957,5620.964797973633
88000,84533,64585,5703.608881235123
89000,85499,65217,5788.226093292236
90000,86463,65866,5873.161912679672
91000,87421,66541,5957.074314832687
92000,88377,67181,6043.105104923248
93000,89327,67809,6127.701005935669
94000,90286,68462,6214.091991186142
95000,91253,69108,6298.994184017181
96000,92214,69729,6384.891659498215
