Time(Iteration),Random,LinUCB,LinPHE,ThompsonSampling
1000,966,935,957,933
2000,1925,1877,1890,1834
3000,2880,2807,2807,2742
4000,3829,3713,3696,3605
5000,4784,4605,4603,4475
6000,5740,5500,5471,5314
7000,6698,6373,6333,6139
8000,7662,7233,7198,6969
9000,8626,8080,8035,7783
10000,9592,8915,8899,8597
11000,10548,9760,9769,9400
12000,11514,10573,10581,10199
13000,12466,11413,11400,10987
14000,13416,12228,12208,11732
15000,14374,13038,13015,12531
16000,15329,13838,13817,13289
17000,16291,14645,14612,14039
18000,17240,15459,15408,14817
19000,18196,16270,16201,15566
20000,19147,17041,16975,16289
21000,20102,17816,17762,17024
22000,21059,18590,18545,17759
23000,22017,19333,19307,18483
24000,22985,20101,20088,19209
25000,23939,20877,20873,19953
26000,24894,21660,21658,20693
27000,25858,22432,22447,21427
28000,26810,23205,23225,22167
29000,27765,23950,23982,22888
30000,28732,24709,24742,23628
31000,29696,25465,25505,24346
32000,30661,26244,26270,25069
33000,31625,26984,27026,25789
34000,32574,27714,27772,26505
35000,33523,28452,28515,27227
36000,34491,29167,29234,27908
37000,35443,29934,29985,28605
38000,36405,30677,30727,29301
39000,37363,31391,31447,29987
40000,38331,32089,32152,30650
41000,39285,32810,32890,31329
42000,40240,33553,33616,32039
43000,41203,34288,34361,32732
44000,42159,34995,35084,33439
45000,43124,35710,35801,34133
46000,44099,36438,36514,34824
47000,45060,37174,37239,35524
48000,46017,37888,37977,36214
49000,46977,38613,38686,36888
50000,47935,39326,39394,37575
51000,48897,40004,40096,38235
52000,49868,40712,40812,38927
53000,50833,41411,41534,39607
54000,51774,42116,42244,40279
55000,52731,42807,42959,40941
56000,53706,43535,43667,41615
57000,54657,44243,44374,42281
58000,55616,44928,45062,42945
59000,56571,45609,45749,43610
60000,57531,46305,46435,44286
61000,58493,46987,47146,44954
62000,59461,47671,47833,45598
63000,60420,48340,48534,46248
64000,61380,49023,49232,46893
65000,62339,49696,49914,47540
66000,63298,50395,50624,48225
67000,64259,51095,51341,48886
68000,65214,51765,52024,49539
69000,66178,52471,52723,50217
70000,67137,53171,53453,50874
71000,68102,53820,54131,51512
72000,69063,54506,54830,52185
73000,70019,55161,55507,52816
74000,70981,55846,56194,53467
75000,71944,56509,56871,54108
76000,72902,57171,57552,54747
77000,73860,57863,58236,55386
78000,74818,58533,58923,56017
79000,75785,59236,59629,56699
80000,76747,59907,60312,57343
81000,77706,60554,60971,57963
82000,78667,61222,61645,58613
83000,79616,61879,62308,59265
84000,80571,62558,62999,59917
85000,81536,63198,63657,60526
86000,82501,63866,64329,61153
87000,83453,64525,65012,61807
88000,84397,65162,65654,62404
89000,85362,65801,66308,63031
90000,86317,66449,66963,63680
91000,87278,67129,67631,64337
92000,88224,67769,68266,64947
93000,89188,68434,68954,65586
94000,90143,69087,69614,66210
95000,91108,69729,70278,66845
96000,92076,70383,70953,67475
