Time(Iteration),Random,LinUCB,LinUCB_time 0.1 1.0
1000,951,939,0.4819645881652832
2000,1907,1855,0.8861043453216553
3000,2871,2755,1.1841716766357422
4000,3838,3628,1.649399995803833
5000,4791,4493,2.20145583152771
6000,5758,5336,2.4859046936035156
7000,6721,6179,2.8685224056243896
8000,7683,7017,3.1623313426971436
9000,8637,7850,3.6239068508148193
10000,9594,8669,3.951340913772583
11000,10567,9473,4.409291744232178
12000,11528,10261,4.711872100830078
13000,12490,11054,5.129882574081421
14000,13454,11801,5.474226474761963
15000,14419,12578,5.801521062850952
16000,15383,13345,6.262313604354858
17000,16336,14099,6.56033182144165
18000,17292,14871,7.063024997711182
19000,18246,15632,7.3578200340271
20000,19201,16362,7.762810230255127
21000,20162,17103,8.252345323562622
22000,21120,17847,8.58311128616333
23000,22098,18582,8.991731643676758
24000,23049,19302,9.361297845840454
25000,24010,20008,9.718639373779297
26000,24969,20748,10.231242895126343
27000,25940,21488,10.646921873092651
28000,26904,22226,11.155870199203491
29000,27857,22941,11.510853290557861
30000,28824,23663,11.943712711334229
31000,29781,24406,12.343533992767334
32000,30742,25131,12.799068689346313
33000,31700,25848,13.338733434677124
34000,32656,26537,13.655959367752075
35000,33618,27250,14.094400405883789
36000,34573,27936,14.441376686096191
37000,35534,28669,14.885119915008545
38000,36491,29384,15.299158573150635
39000,37451,30074,15.701070308685303
40000,38415,30718,16.132369995117188
41000,39371,31413,16.424904823303223
42000,40334,32122,16.860679149627686
43000,41285,32829,17.313201665878296
44000,42246,33518,17.719625234603882
45000,43199,34209,18.107003211975098
46000,44160,34904,18.44992160797119
47000,45113,35624,18.963937759399414
48000,46075,36305,19.180038452148438
49000,47032,36984,19.74561095237732
50000,47984,37670,20.240537405014038
51000,48948,38333,20.534592866897583
52000,49911,39034,21.048473119735718
53000,50877,39717,21.631250381469727
54000,51845,40403,21.91469979286194
55000,52803,41066,22.362940311431885
56000,53769,41772,22.83003878593445
57000,54738,42455,23.044469356536865
58000,55685,43107,23.54418659210205
59000,56649,43764,24.068789958953857
60000,57621,44435,24.357986211776733
61000,58596,45108,24.805360555648804
62000,59553,45768,25.35887312889099
63000,60516,46407,25.74394655227661
64000,61477,47061,26.111479997634888
65000,62434,47725,26.691060543060303
66000,63399,48409,27.1239492893219
67000,64352,49090,27.44554591178894
68000,65322,49756,27.993553161621094
69000,66294,50424,28.444256067276
70000,67264,51089,28.722995281219482
71000,68226,51721,29.266541719436646
72000,69171,52389,29.539117336273193
73000,70129,53031,30.02687406539917
74000,71076,53696,30.566920280456543
75000,72032,54339,30.80376148223877
76000,72996,54988,31.23987364768982
77000,73960,55660,31.623376846313477
78000,74909,56315,31.972062349319458
79000,75854,57009,32.34537982940674
80000,76800,57673,32.6767098903656
81000,77741,58307,33.08149695396423
82000,78699,58955,33.43170166015625
83000,79655,59611,33.769206285476685
84000,80615,60263,34.18705892562866
85000,81580,60888,34.50455188751221
86000,82550,61534,34.95473766326904
87000,83499,62177,35.20331645011902
88000,84452,62785,35.71416258811951
89000,85401,63400,35.98691153526306
90000,86357,64046,36.38150954246521
91000,87317,64710,36.82208752632141
92000,88270,65332,37.34707713127136
93000,89232,65966,37.79481601715088
94000,90199,66601,38.13908672332764
95000,91159,67230,38.640472650527954
96000,92124,67878,39.174657583236694
