Time(Iteration),Random,LinUCB,LinUCB_time 0.5 0.1
1000,955,949,0.3352365493774414
2000,1917,1895,0.6751391887664795
3000,2880,2824,1.0088069438934326
4000,3837,3737,1.502453088760376
5000,4801,4645,1.7077341079711914
6000,5756,5553,2.204619884490967
7000,6718,6446,2.4233458042144775
8000,7683,7316,2.9338152408599854
9000,8642,8194,3.319566011428833
10000,9609,9063,3.6108336448669434
11000,10570,9946,4.117833614349365
12000,11531,10797,4.490944147109985
13000,12495,11653,4.9241251945495605
14000,13457,12490,5.4188759326934814
15000,14423,13329,5.908822298049927
16000,15380,14169,6.292618036270142
17000,16348,14993,6.733513116836548
18000,17304,15830,7.234586000442505
19000,18261,16659,7.548264503479004
20000,19226,17461,7.9036760330200195
21000,20191,18259,8.27333688735962
22000,21150,19071,8.77723503112793
23000,22109,19855,9.024224758148193
24000,23055,20629,9.423151016235352
25000,24019,21425,9.725666046142578
26000,24984,22243,10.082964897155762
27000,25934,23035,10.374388217926025
28000,26898,23838,10.891505241394043
29000,27849,24620,11.450693607330322
30000,28806,25408,11.858847856521606
31000,29766,26206,12.305489540100098
32000,30732,27000,12.569339752197266
33000,31700,27777,12.985437393188477
34000,32659,28542,13.411241292953491
35000,33619,29320,13.64930248260498
36000,34586,30081,14.075190544128418
37000,35539,30867,14.426982879638672
38000,36495,31627,14.82926321029663
39000,37450,32379,15.417832612991333
40000,38410,33090,15.687979936599731
41000,39374,33842,16.103612422943115
42000,40335,34608,16.403870820999146
43000,41298,35368,16.906006574630737
44000,42258,36096,17.225757837295532
45000,43219,36830,17.619491815567017
46000,44179,37555,18.035929918289185
47000,45138,38327,18.3726863861084
48000,46101,39068,18.856812715530396
49000,47057,39805,19.279356718063354
50000,48016,40545,19.61612868309021
51000,48968,41251,20.114213466644287
52000,49924,41987,20.442012310028076
53000,50882,42713,20.834091663360596
54000,51837,43438,21.187323808670044
55000,52795,44176,21.557679176330566
56000,53762,44907,22.12521266937256
57000,54728,45633,22.458937168121338
58000,55687,46348,22.925172567367554
59000,56653,47056,23.324061632156372
60000,57611,47771,23.745144605636597
61000,58568,48483,24.292250394821167
62000,59526,49192,24.857098817825317
63000,60489,49874,25.316293716430664
64000,61449,50579,25.699609756469727
65000,62407,51282,26.14287757873535
66000,63375,52005,26.421269178390503
67000,64345,52750,26.871631622314453
68000,65308,53455,27.370885848999023
69000,66264,54166,27.720329523086548
70000,67217,54873,28.372736930847168
71000,68178,55540,28.82721185684204
72000,69135,56245,29.09799838066101
73000,70101,56926,29.55375862121582
74000,71059,57628,29.928269863128662
75000,72024,58306,30.50375199317932
76000,72985,58987,30.83760356903076
77000,73937,59680,31.2068874835968
78000,74897,60365,31.65279197692871
79000,75852,61091,32.078542947769165
80000,76810,61786,32.55239415168762
81000,77762,62458,32.975722551345825
82000,78713,63159,33.377280473709106
83000,79671,63843,33.96751809120178
84000,80620,64539,34.39262390136719
85000,81583,65210,34.709147453308105
86000,82534,65908,35.08566236495972
87000,83492,66601,35.725159645080566
88000,84455,67251,36.117085695266724
89000,85424,67923,36.51270151138306
90000,86391,68602,37.05232262611389
91000,87343,69319,37.34720301628113
92000,88309,69963,37.8956663608551
93000,89277,70641,38.28477144241333
94000,90237,71319,38.81774687767029
95000,91192,71984,39.206960916519165
96000,92161,72669,39.62289261817932
