Time(Iteration),Random,NeuralUCB,NeuralUCB_time
1000,955,965,1841.2847259044647
2000,1913,1943,3492.9940333366394
3000,2861,2919,5545.087210655212
4000,3831,3898,7406.966824769974
5000,4795,4878,9404.199616670609
6000,5764,5860,11399.825197219849
7000,6723,6844,13498.827821731567
8000,7692,7830,15784.684381961823
9000,8657,8813,18002.524782180786
10000,9626,9799,20275.938742876053
11000,10598,10783,22542.63862133026
12000,11563,11770,24810.935412168503
13000,12527,12743,27090.100133657455
14000,13485,13722,29367.264234542847
15000,14435,14706,31640.224408864975
16000,15396,15688,33895.65004825592
17000,16349,16667,36163.320699453354
18000,17305,17656,38374.97751331329
19000,18273,18642,40592.763321876526
20000,19236,19628,42823.2624065876
21000,20188,20617,45077.87253475189
22000,21150,21601,47353.368900060654
23000,22109,22587,49625.17020535469
24000,23071,23575,51467.02339673042
