Time(Iteration),Random,LinUCB,LinUCB_time 0.01 0.5
1000,967,949,0.5542385578155518
2000,1925,1867,0.9698617458343506
3000,2887,2767,1.3252310752868652
4000,3846,3640,1.6879544258117676
5000,4811,4501,2.156341075897217
6000,5769,5353,2.481903553009033
7000,6720,6198,2.872432231903076
8000,7684,7041,3.221891164779663
9000,8649,7864,3.614654302597046
10000,9610,8694,4.17145562171936
11000,10573,9503,4.633087635040283
12000,11544,10304,5.09653377532959
13000,12504,11116,5.584130048751831
14000,13476,11881,6.073320150375366
15000,14439,12670,6.505609035491943
16000,15399,13443,6.904919385910034
17000,16356,14213,7.32948899269104
18000,17306,14976,7.747328758239746
19000,18272,15741,8.17197322845459
20000,19238,16477,8.63316535949707
21000,20197,17225,9.00590705871582
22000,21160,17964,9.481728315353394
23000,22132,18683,9.859987735748291
24000,23086,19412,10.2614164352417
25000,24051,20126,10.807709455490112
26000,25015,20861,11.15890121459961
27000,25980,21589,11.493729591369629
28000,26939,22332,11.817715167999268
29000,27902,23030,12.273165702819824
30000,28861,23743,12.740480184555054
31000,29832,24480,13.156186819076538
32000,30799,25211,13.543918371200562
33000,31762,25918,13.866060733795166
34000,32719,26620,14.25748085975647
35000,33680,27327,14.846683979034424
36000,34644,28008,15.267761468887329
37000,35617,28718,15.75612187385559
38000,36580,29428,16.194210052490234
39000,37529,30118,16.526607275009155
40000,38476,30753,16.921571016311646
41000,39434,31448,17.37822461128235
42000,40394,32127,17.688263654708862
43000,41354,32831,18.18021535873413
44000,42314,33507,18.523005485534668
45000,43271,34199,18.92819905281067
46000,44228,34880,19.2921040058136
47000,45180,35580,19.713834047317505
48000,46132,36254,20.19238805770874
49000,47099,36932,20.59772491455078
50000,48063,37610,20.969225883483887
51000,49013,38267,21.48856782913208
52000,49973,38962,21.72527050971985
53000,50934,39643,22.175909519195557
54000,51892,40334,22.66599416732788
55000,52859,41001,22.978758573532104
56000,53822,41688,23.345194101333618
57000,54788,42363,23.64850091934204
58000,55746,43024,24.031073570251465
59000,56707,43692,24.388617038726807
60000,57665,44358,24.75807785987854
61000,58635,45026,25.13959836959839
62000,59592,45679,25.50506591796875
63000,60541,46325,25.96126651763916
64000,61503,46979,26.226718187332153
65000,62473,47621,26.748605489730835
66000,63420,48296,27.29514193534851
67000,64382,48984,27.74065113067627
68000,65347,49646,28.086416244506836
69000,66307,50313,28.692325830459595
70000,67260,50990,29.19088864326477
71000,68223,51609,29.45581364631653
72000,69187,52271,29.933977842330933
73000,70154,52909,30.42413330078125
74000,71107,53578,30.9802405834198
75000,72067,54216,31.362942695617676
76000,73035,54863,31.811477184295654
77000,73997,55526,32.14791440963745
78000,74955,56185,32.64644908905029
79000,75920,56855,33.15412974357605
80000,76875,57521,33.588616132736206
81000,77830,58167,33.945335388183594
82000,78792,58837,34.31902599334717
83000,79753,59492,34.813950538635254
84000,80707,60145,35.20653462409973
85000,81674,60764,35.61196327209473
86000,82629,61398,36.12570667266846
87000,83593,62034,36.41080665588379
88000,84546,62633,36.88220238685608
89000,85509,63250,37.20614767074585
90000,86465,63893,37.68797183036804
91000,87429,64546,38.159587144851685
92000,88400,65159,38.60404109954834
93000,89356,65795,39.036818504333496
94000,90318,66428,39.459168672561646
95000,91272,67051,39.846571922302246
96000,92235,67711,40.27662658691406
