Time(Iteration),Random,LinUCB,LinUCB_time 1.0 1.0
1000,956,938,0.22887730598449707
2000,1920,1880,0.44287586212158203
3000,2884,2806,0.657902717590332
4000,3853,3697,0.8697400093078613
5000,4793,4590,1.0902495384216309
6000,5748,5486,1.3112156391143799
7000,6702,6375,1.5244112014770508
8000,7669,7272,1.7378816604614258
9000,8620,8157,1.953533411026001
10000,9582,9029,2.1725587844848633
11000,10548,9927,2.382880687713623
12000,11505,10796,2.5922412872314453
13000,12468,11661,2.8042571544647217
14000,13419,12505,3.030951976776123
15000,14372,13349,3.2461459636688232
16000,15326,14198,3.4578158855438232
17000,16286,15056,3.6692028045654297
18000,17249,15904,3.8775229454040527
19000,18207,16724,4.085253477096558
20000,19166,17545,4.298717975616455
21000,20123,18364,4.512080430984497
22000,21085,19171,4.723570823669434
23000,22053,19987,4.932547330856323
24000,23015,20794,5.149885654449463
25000,23974,21612,5.367463827133179
26000,24925,22444,5.582540988922119
27000,25891,23268,5.801114559173584
28000,26849,24093,6.018989324569702
29000,27810,24897,6.229292869567871
30000,28761,25695,6.448241233825684
31000,29729,26520,6.6665825843811035
32000,30687,27319,6.883955240249634
33000,31653,28101,7.10031533241272
34000,32621,28879,7.320464372634888
35000,33568,29676,7.534034013748169
36000,34530,30454,7.746593236923218
37000,35494,31262,7.959707975387573
38000,36454,32032,8.180099964141846
39000,37411,32804,8.401742696762085
40000,38367,33525,8.623231410980225
41000,39322,34304,8.843079328536987
42000,40280,35091,9.067115783691406
43000,41236,35869,9.317041397094727
44000,42197,36651,9.535048484802246
45000,43159,37416,9.752028703689575
46000,44124,38166,9.963231801986694
47000,45087,38955,10.180407762527466
48000,46043,39726,10.434616565704346
49000,46999,40485,10.797667503356934
50000,47955,41258,11.133918046951294
51000,48918,42010,11.48088002204895
52000,49885,42777,11.920964479446411
53000,50840,43531,12.281680822372437
54000,51791,44288,12.786980628967285
55000,52754,45048,13.112709760665894
56000,53712,45814,13.506292581558228
57000,54670,46556,13.974094867706299
58000,55633,47296,14.35940933227539
59000,56585,48025,14.919719696044922
60000,57543,48775,15.30821180343628
61000,58500,49504,15.738420486450195
62000,59459,50254,16.272274017333984
63000,60412,50963,16.55783176422119
64000,61363,51696,17.063048124313354
65000,62321,52426,17.528446674346924
66000,63284,53191,17.87668466567993
67000,64239,53949,18.385905027389526
68000,65198,54689,18.875839233398438
69000,66156,55439,19.262001752853394
70000,67111,56177,19.719499111175537
71000,68069,56886,20.239097833633423
72000,69026,57622,20.54536485671997
73000,69979,58348,20.9423611164093
74000,70945,59076,21.44187569618225
75000,71909,59796,21.78748345375061
76000,72862,60514,22.317218780517578
77000,73827,61239,22.753350019454956
78000,74787,61957,23.051634788513184
79000,75752,62716,23.49621844291687
80000,76711,63449,23.8510901927948
81000,77668,64148,24.31661105155945
82000,78641,64875,24.643784999847412
83000,79592,65583,25.11197829246521
84000,80544,66298,25.618210077285767
85000,81507,67016,25.969286918640137
86000,82467,67734,26.43418836593628
87000,83433,68451,26.890133380889893
88000,84383,69141,27.266491413116455
89000,85346,69845,27.72762107849121
90000,86311,70562,28.199100732803345
91000,87266,71325,28.52577567100525
92000,88234,72017,29.053277730941772
93000,89193,72716,29.36785078048706
94000,90154,73421,29.80871891975403
95000,91115,74128,30.234697818756104
96000,92062,74834,30.701359510421753
