Time(Iteration),Random,NeuralUCB,NeuralUCB_time 500 iterations max
1000,957,935,306.72136998176575
2000,1920,1828,947.8818049430847
3000,2884,2694,1824.237139225006
4000,3843,3562,2899.3304738998413
5000,4797,4396,4026.5343437194824
6000,5754,5230,5305.422872304916
7000,6707,6048,6608.732623338699
8000,7665,6880,7972.332507133484
9000,8629,7701,9305.550658941269
