Time(Iteration),Random,LinUCB,LinUCB_time 0.1 0.1
1000,968,944,0.4020354747772217
2000,1937,1879,0.7325983047485352
3000,2892,2791,1.2177488803863525
4000,3848,3662,1.5642147064208984
5000,4820,4550,1.9266128540039062
6000,5790,5417,2.232905864715576
7000,6761,6265,2.674109935760498
8000,7714,7106,2.985199451446533
9000,8682,7936,3.4448461532592773
10000,9649,8758,4.046282052993774
11000,10611,9583,4.276642560958862
12000,11583,10383,4.873408794403076
13000,12529,11181,5.464799880981445
14000,13486,11936,5.764758110046387
15000,14446,12729,6.245246171951294
16000,15404,13502,6.671910762786865
17000,16364,14279,6.967288494110107
18000,17318,15059,7.470574855804443
19000,18280,15830,7.814818859100342
20000,19241,16579,8.272717475891113
21000,20209,17330,8.732836484909058
22000,21166,18088,8.978930711746216
23000,22125,18832,9.528838872909546
24000,23089,19576,10.026877164840698
25000,24046,20323,10.31668496131897
26000,24997,21090,10.788360118865967
27000,25967,21839,11.215782403945923
28000,26922,22584,11.624293327331543
29000,27875,23314,12.00909948348999
30000,28836,24043,12.355745553970337
31000,29793,24790,12.818658828735352
32000,30759,25546,13.28235673904419
33000,31714,26294,13.7859525680542
34000,32675,27002,14.04223370552063
35000,33628,27726,14.4816415309906
36000,34574,28433,14.821573495864868
37000,35533,29166,15.300698518753052
38000,36487,29876,15.830793142318726
39000,37448,30577,16.141562700271606
40000,38398,31233,16.552181482315063
41000,39355,31933,17.1138334274292
42000,40310,32645,17.41209077835083
43000,41276,33353,17.874820232391357
44000,42235,34050,18.503758907318115
45000,43198,34742,18.852384090423584
46000,44156,35454,19.264158725738525
47000,45117,36168,19.755802869796753
48000,46085,36860,20.101794004440308
49000,47044,37558,20.497841835021973
50000,48002,38262,20.825509309768677
51000,48953,38928,21.230589151382446
52000,49916,39636,21.582639455795288
53000,50871,40320,22.059234619140625
54000,51823,41006,22.47524666786194
55000,52780,41680,22.80380344390869
56000,53735,42374,23.324440002441406
57000,54699,43067,23.68617606163025
58000,55670,43724,24.043768644332886
59000,56629,44389,24.384875059127808
60000,57593,45068,24.82541298866272
61000,58558,45738,25.29662823677063
62000,59523,46417,25.833822011947632
63000,60470,47080,26.373909950256348
64000,61428,47745,26.745471000671387
65000,62392,48407,27.11521577835083
66000,63341,49084,27.608792066574097
67000,64292,49776,27.911224842071533
68000,65258,50440,28.38344717025757
69000,66233,51110,28.89223003387451
70000,67197,51780,29.16660165786743
71000,68159,52413,29.640972137451172
72000,69123,53076,30.132394790649414
73000,70086,53723,30.507570028305054
74000,71042,54402,31.01051902770996
75000,72002,55040,31.5982027053833
76000,72965,55718,31.93636178970337
77000,73922,56386,32.43875455856323
78000,74887,57031,32.84943509101868
79000,75851,57706,33.22482442855835
80000,76820,58364,33.81291747093201
81000,77769,59006,34.21282696723938
82000,78731,59675,34.763803005218506
83000,79693,60327,35.15677571296692
84000,80661,60986,35.46811485290527
85000,81609,61616,35.980451822280884
86000,82572,62262,36.503764152526855
87000,83540,62917,36.873859882354736
88000,84498,63549,37.373820304870605
89000,85459,64173,37.87303304672241
90000,86415,64824,38.14489030838013
91000,87382,65498,38.642159938812256
92000,88343,66115,39.137391805648804
93000,89288,66756,39.64460062980652
94000,90258,67396,40.02881693840027
95000,91209,68045,40.35704851150513
96000,92160,68695,40.766706466674805
