dimension: 50,n_users: 2100,parameters: {'Theta': True, 'CoTheta': False, 'W': False, 'V': False},alpha: 0.01,lambda_: 0.1,path: ./Dataset/hetrec2011-lastfm-2k/lastfm_user_emd_25_new,hidden_layers: [100],learning_rate: 0.01,learning_rate_decay: 0.95
Time(Iteration),Random,CNeuralUCB,CNeuralUCB_time
1000,967,884,22.59939217567444
2000,1921,1720,83.53770112991333
3000,2875,2524,261.07114005088806
4000,3831,3303,668.0890421867371
5000,4785,4092,1395.6397569179535
6000,5754,4908,2711.4115715026855
7000,6718,5673,5082.381272554398
8000,7685,6432,11736.372782468796
9000,8639,7198,23400.25357723236
