Time(Iteration),Random,LinUCB,LinUCB_time 0.01 0.01
1000,964,945,0.3799111843109131
2000,1915,1886,0.707740068435669
3000,2858,2805,1.1722686290740967
4000,3821,3699,1.379922866821289
5000,4778,4588,1.8940863609313965
6000,5731,5478,2.247257709503174
7000,6702,6347,2.6590709686279297
8000,7668,7215,3.19465970993042
9000,8614,8073,3.408043622970581
10000,9573,8917,3.8862805366516113
11000,10522,9802,4.137258529663086
12000,11477,10611,4.577230215072632
13000,12436,11437,4.957873344421387
14000,13399,12224,5.330360651016235
15000,14358,13050,5.87573504447937
16000,15311,13864,6.192239999771118
17000,16263,14664,6.595685958862305
18000,17221,15485,6.994200944900513
19000,18181,16301,7.279968023300171
20000,19137,17065,7.821683645248413
21000,20103,17826,8.211568593978882
22000,21047,18602,8.616153240203857
23000,22010,19358,9.147376775741577
24000,22972,20122,9.42546558380127
25000,23939,20879,9.845547199249268
26000,24899,21644,10.338519811630249
27000,25868,22405,10.684332609176636
28000,26811,23179,11.0736825466156
29000,27775,23924,11.33957052230835
30000,28745,24673,11.735451698303223
31000,29706,25430,12.131821393966675
32000,30671,26178,12.556479215621948
33000,31624,26921,13.020026445388794
34000,32579,27646,13.400444507598877
35000,33545,28385,13.883172750473022
36000,34505,29105,14.216187715530396
37000,35468,29866,14.70138168334961
38000,36434,30597,15.20322299003601
39000,37396,31316,15.452515363693237
40000,38349,31994,15.866835832595825
41000,39314,32721,16.255537509918213
42000,40272,33446,16.60549545288086
43000,41239,34180,17.19247341156006
44000,42203,34888,17.430200576782227
45000,43162,35600,17.89265012741089
46000,44130,36318,18.505124807357788
47000,45093,37042,18.871927976608276
48000,46055,37745,19.381454706192017
49000,47017,38451,19.940040349960327
50000,47987,39162,20.297894954681396
51000,48948,39848,20.69426131248474
52000,49910,40568,21.156309843063354
53000,50865,41273,21.560333967208862
54000,51817,41965,21.955950260162354
55000,52776,42660,22.420363187789917
56000,53741,43355,22.877312421798706
57000,54688,44057,23.2929105758667
58000,55659,44736,23.67354917526245
59000,56622,45419,24.114001512527466
60000,57577,46087,24.588905572891235
61000,58529,46779,24.97253179550171
62000,59486,47469,25.419691562652588
63000,60451,48140,25.77304720878601
64000,61412,48818,26.226643323898315
65000,62369,49480,26.66561222076416
66000,63319,50168,27.067785024642944
67000,64275,50859,27.47143030166626
68000,65229,51534,27.959463834762573
69000,66194,52213,28.293866395950317
70000,67158,52903,28.708985567092896
71000,68120,53548,29.069941759109497
72000,69093,54219,29.338123321533203
73000,70055,54876,29.718178272247314
74000,71017,55554,30.008007049560547
75000,71976,56217,30.49458074569702
76000,72934,56891,30.97684955596924
77000,73907,57555,31.29032015800476
78000,74868,58217,31.80993962287903
79000,75835,58912,32.12980270385742
80000,76788,59578,32.66058564186096
81000,77745,60230,33.0545756816864
82000,78707,60902,33.358272314071655
83000,79656,61563,33.81255221366882
84000,80620,62221,34.25406575202942
85000,81579,62872,34.58787655830383
86000,82531,63512,34.9443256855011
87000,83489,64154,35.26135778427124
88000,84451,64775,35.56074786186218
89000,85422,65421,35.97510075569153
90000,86371,66078,36.37441039085388
91000,87337,66741,36.80200433731079
92000,88288,67382,37.35483002662659
93000,89243,68041,37.74501919746399
94000,90201,68679,38.35314989089966
95000,91162,69308,38.84600496292114
96000,92122,69954,39.27765202522278
