Time(Iteration),Random,LinUCB,LinUCB_time 0.01 0.1
1000,956,940,0.39652514457702637
2000,1919,1873,0.7514820098876953
3000,2870,2779,1.1657109260559082
4000,3828,3650,1.5392465591430664
5000,4789,4522,1.9672000408172607
6000,5745,5376,2.498267650604248
7000,6713,6226,2.813971757888794
8000,7673,7068,3.1939375400543213
9000,8632,7900,3.56019926071167
10000,9591,8719,4.03260064125061
11000,10552,9562,4.508645534515381
12000,11513,10366,4.9405176639556885
13000,12475,11168,5.406560182571411
14000,13448,11932,5.895233392715454
15000,14412,12727,6.4183127880096436
16000,15382,13514,6.826098918914795
17000,16349,14292,7.400077819824219
18000,17299,15070,7.654952764511108
19000,18279,15850,8.136927127838135
20000,19239,16578,8.426126718521118
21000,20195,17323,8.8414945602417
22000,21157,18077,9.198756694793701
23000,22114,18816,9.568978786468506
24000,23074,19552,10.070406198501587
25000,24027,20292,10.50962495803833
26000,24982,21046,10.889906644821167
27000,25929,21788,11.368125915527344
28000,26891,22537,11.680269718170166
29000,27844,23249,12.234243631362915
30000,28790,23983,12.581721067428589
31000,29737,24722,13.126129627227783
32000,30682,25461,13.608260154724121
33000,31643,26179,13.942018032073975
34000,32603,26885,14.348572015762329
35000,33560,27604,14.76659107208252
36000,34523,28298,15.15490984916687
37000,35490,29043,15.643390893936157
38000,36445,29758,16.03443479537964
39000,37403,30474,16.443886518478394
40000,38363,31127,16.819639682769775
41000,39318,31834,17.117106676101685
42000,40277,32566,17.569827556610107
43000,41241,33282,18.002277135849
44000,42203,33979,18.41474437713623
45000,43168,34670,18.7300443649292
46000,44120,35384,19.082701921463013
47000,45092,36086,19.577186584472656
48000,46051,36786,20.11760926246643
49000,47013,37478,20.499394416809082
50000,47973,38173,20.920793056488037
51000,48940,38833,21.326644897460938
52000,49903,39530,21.725423574447632
53000,50854,40199,22.25921392440796
54000,51809,40885,22.525254011154175
55000,52773,41567,22.934471607208252
56000,53730,42253,23.467310905456543
57000,54691,42938,23.758103847503662
58000,55647,43608,24.199498414993286
59000,56603,44266,24.72872543334961
60000,57579,44945,25.19799828529358
61000,58537,45618,25.647608995437622
62000,59501,46302,26.03446054458618
63000,60463,46952,26.43399739265442
64000,61424,47611,26.877566814422607
65000,62392,48282,27.298147678375244
66000,63357,48965,27.728280544281006
67000,64320,49657,28.19311499595642
68000,65285,50313,28.566163063049316
69000,66252,50985,28.972492218017578
70000,67206,51663,29.388279914855957
71000,68153,52296,29.725311040878296
72000,69126,52973,30.22312903404236
73000,70079,53629,30.704261541366577
74000,71037,54285,31.05960774421692
75000,72007,54917,31.548668384552002
76000,72967,55578,31.920319318771362
77000,73924,56238,32.29636096954346
78000,74878,56885,32.78009533882141
79000,75838,57563,33.147671937942505
80000,76794,58217,33.60334372520447
81000,77759,58856,34.01146483421326
82000,78715,59511,34.29172611236572
83000,79661,60183,34.742480516433716
84000,80616,60839,35.30379557609558
85000,81569,61455,35.57613444328308
86000,82525,62100,36.02549338340759
87000,83486,62737,36.278950452804565
88000,84452,63356,36.75562047958374
89000,85409,63982,36.982391119003296
90000,86369,64618,37.45165133476257
91000,87319,65283,38.03889513015747
92000,88276,65914,38.24303722381592
93000,89239,66549,38.84152674674988
94000,90191,67190,39.24917411804199
95000,91159,67833,39.63881278038025
96000,92131,68479,40.01673364639282
