dimension: 50,n_users: 2100,parameters: {'Theta': True, 'CoTheta': False, 'W': False, 'V': False},alpha: 0.01,lambda_: 0.1,learning_rate: 0.01,learning_rate_decay: 0.99,hidden_layers: [64],path: ./Dataset/hetrec2011-lastfm-2k/lastfm_user_emd_25_new
Time(Iteration),Random,CNeuralUCB,CNeuralUCB_time
1000,956,863,293.3810429573059
2000,1914,1709,2205.737328529358
3000,2869,2506,5347.9986662864685
4000,3831,3265,9836.434674978256
5000,4802,4047,15705.30973148346
6000,5758,4866,22986.523443460464
7000,6717,5682,31681.58483028412
