Time(Iteration),Random,NeuralUCB,NeuralUCB_time
1000,965,938,24.23649764060974
2000,1923,1863,63.04978823661804
3000,2868,2750,113.8193838596344
4000,3830,3627,174.84966397285461
5000,4793,4485,246.26243948936462
6000,5760,5312,322.7677779197693
7000,6722,6154,402.3543450832367
8000,7683,6972,489.4676640033722
9000,8638,7772,577.3091170787811
10000,9604,8583,667.4154431819916
11000,10561,9395,760.6856560707092
12000,11535,10186,851.5491454601288
13000,12495,10969,947.2205176353455
14000,13463,11719,1048.9378850460052
15000,14417,12466,1147.9732594490051
16000,15379,13218,1249.6865813732147
17000,16335,13941,1353.1317467689514
18000,17295,14666,1461.348564863205
19000,18265,15396,1571.010012626648
20000,19220,16125,1678.6352100372314
21000,20177,16848,1789.1408796310425
22000,21150,17558,1900.0359725952148
23000,22104,18264,2017.0293369293213
24000,23064,18979,2128.2315797805786
25000,24028,19696,2239.3780512809753
26000,24985,20426,2348.2784078121185
27000,25938,21134,2462.9147984981537
28000,26888,21854,2572.0605869293213
29000,27851,22531,2687.71790933609
30000,28805,23243,2801.922826528549
31000,29771,23939,2916.567088842392
32000,30734,24643,3027.623319387436
33000,31702,25321,3141.9846415519714
34000,32666,25995,3255.304239988327
35000,33630,26709,3366.241583585739
36000,34587,27361,3482.4704117774963
37000,35546,28064,3597.913281440735
38000,36508,28723,3715.6107308864594
39000,37469,29401,3830.9682290554047
40000,38431,30025,3947.8778760433197
41000,39386,30699,4067.101991891861
42000,40353,31370,4190.8797245025635
43000,41313,32052,4305.826128482819
44000,42275,32710,4424.95715045929
45000,43218,33372,4542.358632802963
46000,44185,34017,4663.863191843033
47000,45145,34670,4784.179618835449
48000,46108,35304,4903.951712608337
49000,47058,35937,5027.0798761844635
50000,48018,36599,5151.456956386566
51000,48983,37240,5276.47215461731
52000,49938,37895,5397.473677158356
53000,50899,38534,5522.21032834053
54000,51860,39160,5645.138957977295
55000,52813,39785,5768.17723941803
56000,53775,40400,5898.675551891327
57000,54728,41022,6019.717469453812
58000,55677,41648,6144.404935598373
59000,56637,42274,6268.289289712906
60000,57592,42918,6393.513588428497
61000,58548,43534,6518.665493249893
62000,59511,44155,6643.60440826416
63000,60468,44775,6769.734540224075
64000,61435,45384,6895.639167308807
65000,62391,45974,7021.906026363373
66000,63344,46634,7147.176641225815
67000,64297,47245,7272.813833236694
68000,65257,47846,7400.465639591217
69000,66215,48466,7526.163398742676
70000,67179,49091,7651.941506147385
71000,68131,49674,7779.190392971039
72000,69099,50276,7900.811066865921
73000,70055,50890,8026.609039545059
74000,71019,51494,8157.5826070308685
75000,71979,52088,8281.212689876556
76000,72943,52694,8408.757062196732
77000,73908,53310,8536.816011190414
78000,74863,53890,8662.229231357574
79000,75812,54499,8789.414317846298
80000,76763,55124,8915.715479373932
81000,77723,55697,9043.985794305801
82000,78688,56286,9173.806384325027
83000,79642,56880,9300.567768096924
84000,80607,57460,9427.859838962555
85000,81562,58058,9558.441709041595
86000,82521,58640,9686.888162851334
87000,83471,59215,9819.527255058289
88000,84430,59793,9948.316645622253
89000,85384,60345,10077.27960395813
90000,86350,60911,10205.410634994507
91000,87315,61511,10334.115511417389
92000,88277,62074,10469.047311782837
93000,89244,62650,10599.60327076912
94000,90204,63227,10729.963830709457
95000,91175,63788,10859.329816579819
96000,92131,64345,10994.684086799622
