Time(Iteration),Random,NeuralPHE,NeuralPHE_time
1000,956,933,6.781787395477295
2000,1919,1865,16.926812887191772
3000,2877,2777,30.10016131401062
4000,3839,3685,45.04145908355713
5000,4790,4585,63.53965783119202
6000,5759,5477,84.00318956375122
7000,6711,6378,108.77698063850403
8000,7659,7272,130.68845391273499
9000,8622,8161,153.1084861755371
10000,9585,9016,177.0215768814087
11000,10541,9876,205.2182595729828
12000,11498,10739,233.52332973480225
13000,12464,11597,262.5871992111206
14000,13420,12415,294.1828439235687
15000,14384,13256,324.31799936294556
16000,15348,14071,356.121132850647
17000,16316,14928,388.9741039276123
18000,17279,15759,424.41446447372437
19000,18241,16564,459.71409845352173
20000,19199,17372,493.6955215930939
21000,20163,18160,529.1139447689056
22000,21126,18962,567.1446793079376
23000,22083,19753,606.7298867702484
24000,23041,20567,644.8690416812897
25000,23996,21349,684.2739624977112
26000,24956,22155,725.2184207439423
27000,25913,22949,766.4800262451172
28000,26876,23747,806.0948741436005
29000,27843,24511,848.6007015705109
30000,28803,25281,892.7048635482788
31000,29766,26085,936.9196488857269
32000,30724,26881,982.4568421840668
33000,31686,27674,1030.1879947185516
34000,32650,28461,1073.6911523342133
35000,33607,29247,1119.45600938797
36000,34569,30015,1168.2472591400146
37000,35524,30790,1214.8135478496552
38000,36492,31572,1264.0107398033142
39000,37444,32346,1312.0805730819702
40000,38406,33083,1363.6107168197632
41000,39362,33849,1412.6812674999237
42000,40306,34618,1462.6872465610504
43000,41269,35383,1514.2159774303436
44000,42234,36156,1565.9589574337006
45000,43194,36892,1614.93293094635
46000,44158,37658,1669.0345458984375
47000,45117,38418,1719.6771528720856
48000,46077,39181,1771.0576748847961
49000,47046,39936,1824.0687477588654
50000,48007,40699,1879.3717517852783
51000,48969,41447,1933.957139968872
52000,49928,42208,1985.6354486942291
53000,50892,42951,2041.6149559020996
54000,51857,43680,2095.5740580558777
55000,52818,44418,2149.2762818336487
56000,53779,45153,2204.561683654785
57000,54747,45859,2262.187816619873
58000,55702,46600,2317.514305114746
59000,56668,47325,2375.5214989185333
60000,57625,48073,2429.5469036102295
61000,58583,48797,2484.0054864883423
62000,59550,49504,2538.19229388237
63000,60513,50229,2594.0255427360535
64000,61472,50944,2651.518762111664
65000,62436,51641,2707.822822570801
66000,63393,52369,2766.9872677326202
67000,64354,53091,2823.1312098503113
68000,65310,53772,2883.128029823303
69000,66271,54498,2941.6258985996246
70000,67249,55210,3001.012018918991
71000,68209,55917,3060.5129511356354
72000,69168,56632,3122.815414905548
73000,70128,57344,3187.6159839630127
74000,71085,58069,3252.536451816559
75000,72044,58759,3314.4185066223145
76000,73008,59468,3377.322475671768
77000,73973,60194,3443.1552364826202
78000,74934,60892,3504.939040184021
79000,75887,61620,3568.5325989723206
80000,76836,62319,3631.5194103717804
81000,77801,63027,3692.977928161621
82000,78771,63733,3764.0490844249725
83000,79720,64422,3831.9848523139954
84000,80691,65117,3896.1570031642914
85000,81643,65815,3965.4444522857666
86000,82590,66516,4030.8895008563995
87000,83549,67202,4094.7788615226746
88000,84513,67884,4159.629432916641
89000,85466,68553,4225.307479381561
90000,86429,69244,4287.701392889023
91000,87394,69958,4359.04211974144
92000,88345,70630,4424.798286914825
93000,89311,71344,4489.315377235413
94000,90274,72027,4556.923146009445
95000,91229,72718,4623.81086397171
96000,92187,73382,4689.744734048843
