Time(Iteration),Random,LinUCB,LinUCB_time 1.0 0.01
1000,953,952,0.6122817993164062
2000,1914,1899,0.9173574447631836
3000,2873,2850,1.2998158931732178
4000,3828,3799,1.6602904796600342
5000,4776,4731,2.059241771697998
6000,5746,5671,2.401768922805786
7000,6704,6591,2.7779781818389893
8000,7666,7501,3.2432775497436523
9000,8630,8434,3.7155182361602783
10000,9588,9352,4.1552512645721436
11000,10557,10278,4.64657998085022
12000,11529,11180,5.03033971786499
13000,12487,12085,5.4241204261779785
14000,13450,12969,5.83675742149353
15000,14410,13860,6.249930143356323
16000,15365,14737,6.702742338180542
17000,16319,15624,7.1171815395355225
18000,17276,16496,7.504277944564819
19000,18239,17361,7.995157957077026
20000,19209,18215,8.409979343414307
21000,20175,19055,8.82352590560913
22000,21135,19901,9.189951181411743
23000,22106,20745,9.589292764663696
24000,23074,21578,10.064794778823853
25000,24035,22419,10.378055572509766
26000,24992,23274,10.802910804748535
27000,25944,24138,11.185985326766968
28000,26902,24995,11.677482843399048
29000,27864,25835,12.020313262939453
30000,28822,26663,12.411672830581665
31000,29770,27506,12.78246545791626
32000,30737,28346,13.155762434005737
33000,31701,29170,13.556910276412964
34000,32656,29966,13.96408987045288
35000,33610,30790,14.337343692779541
36000,34568,31591,14.705124855041504
37000,35528,32434,14.995723009109497
38000,36486,33256,15.350958585739136
39000,37435,34079,15.757845401763916
40000,38389,34861,16.060727834701538
41000,39349,35677,16.553136110305786
42000,40306,36492,17.08389711380005
43000,41261,37309,17.56634545326233
44000,42223,38106,17.976861715316772
45000,43185,38909,18.352089166641235
46000,44154,39696,18.699689865112305
47000,45124,40515,19.01161789894104
48000,46078,41309,19.542089223861694
49000,47039,42108,19.860084295272827
50000,48005,42915,20.35220956802368
51000,48961,43699,20.748997926712036
52000,49926,44505,21.10667324066162
53000,50877,45292,21.449517965316772
54000,51834,46073,21.78862738609314
55000,52783,46864,22.166004180908203
56000,53745,47656,22.449713230133057
57000,54719,48422,22.863237619400024
58000,55683,49204,23.16331958770752
59000,56636,49966,23.650540590286255
60000,57592,50749,23.94863247871399
61000,58553,51522,24.371124505996704
62000,59518,52291,24.856633186340332
63000,60484,53020,25.109803915023804
64000,61453,53780,25.487106323242188
65000,62405,54537,25.861196517944336
66000,63360,55323,26.2164626121521
67000,64309,56105,26.650854349136353
68000,65271,56866,27.135964155197144
69000,66227,57632,27.598392724990845
70000,67202,58414,27.99760937690735
71000,68159,59150,28.275214672088623
72000,69124,59909,28.75256109237671
73000,70088,60664,29.18917179107666
74000,71049,61433,29.548922538757324
75000,72015,62177,30.01973056793213
76000,72971,62929,30.365418195724487
77000,73935,63674,30.87153935432434
78000,74901,64412,31.41563391685486
79000,75862,65196,31.78213858604431
80000,76820,65948,32.13636374473572
81000,77767,66664,32.41977572441101
82000,78724,67419,32.88606309890747
83000,79684,68150,33.33393168449402
84000,80649,68894,33.60360836982727
85000,81612,69637,33.947763442993164
86000,82575,70377,34.46745848655701
87000,83540,71126,34.75203776359558
88000,84492,71845,35.2138409614563
89000,85456,72582,35.63432693481445
90000,86420,73334,36.08709740638733
91000,87375,74103,36.52275609970093
92000,88333,74816,36.80493927001953
93000,89296,75554,37.29112935066223
94000,90263,76277,37.72748923301697
95000,91229,77002,38.06308436393738
96000,92188,77732,38.54368877410889
